GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
060115A,3.53,2.144885418,-11.29499204,3.69688,0.889919,1.0,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,0
060124A,2.296,1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,0
060206A,4.048,0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,0
060210A,3.91,2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,0
060223A,4.41,1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,0
060306A,1.559,2.1325599624534943,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,0
060418A,1.489,2.158362492,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,0
060502A,1.5026,1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,0
060510B,4.9,2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,0
060512A,0.44,0.92890769,-10.721301619402293,3.6445221429258288,1.083805332046039,0.9034498001592594,2.70163,-6.634512015,2.48,16.36612399,-0.055517328,,0.4169965647926759,0.31240423751464497,0.19140919993263683,0.09324414498922973,0.074878359,0.3,0.098703291,1
