GRB_Name,Redshift_crosscheck,log10Fluence,log10PeakFlux,PhotonIndex,log10NH,Gamma,log10Fa_X,log10Ta_X,Alpha_X,Beta_X,log10TaErr,BetaErr_X,AlphaErr,T90Err,PhotonIndexErr,log10FaErr_X,logT90err,log10PeakFluxErr,logFluenceErr,log10T90
GRB070508A,0.82,-4.707743929,1.382017043,1.1,21.89306622,1.82568,-9.161150909,3.02525,1.37377,0.764,0.01189,0.0005,0.013355,0.735923906,0.060606061,0.010795,0.015292234,0.010992516,0.006049102,1.320146286
GRB070521A,2.0865,-5.096367484,0.814913181,1.1,22.27524914,2.00022,-10.01233374,3.55243,1.44502,0.98,0.04844,0.147518075,0.0562,2.819384324,0.121212121,0.04901,0.032307205,0.017957046,0.009596769,1.57863921
GRB070529A,2.4996,-5.590066877,0.155336037,1.34,22.56252244,1.97999,-10.24641694,3.09323,1.21432,0.76,0.068045,0.015,0.03501,19.9827799,0.16,0.0552,0.079472629,0.109332877,0.041401614,2.038222638
GRB070802A,2.45,-6.552841969,-0.397940009,1.79,21.91375294,1.99014,-11.6716204,3.92184,1.16348,0.78,0.236245,0.045,0.2088785,3.019812592,0.27,0.17395,0.079968777,0.108573621,0.077552586,1.214843848
GRB070809A,0.2187,-7.0,0.079181246,1.69,20.80619355,1.37246,-11.9625735,4.18985,1.17521,0.396,0.206985,0.0595,0.395643,0.271528985,0.133333333,0.1917,0.090710415,0.01625693051971508,0.026318246,1.161684284033457
GRB071003A,1.60435,-5.080921908,0.799340549,1.36,20.86974084,1.91015,-11.67760082,4.78411,1.97901,0.837,0.098505,0.032,0.183105,4.494400066,0.07,0.1359,0.013012621,0.027574253,0.015697391,2.170643023
GRB071020A,2.145,-5.638272164,0.924279286,1.11,20.99642367,1.59788,-9.169411331,2.311950854,1.119196934,0.844,0.039262062,0.001,0.011153209,0.581982802,0.05,0.035099822,0.060179028,0.015510517,0.018882369,0.62324929
GRB071117A,1.331,-5.619788758,1.053078443,1.57,22.04291793,2.0457,-11.23542972,3.901990464,1.104952391,0.94,0.117162967,0.01,0.089387802,1.824859447,0.06,0.101024385,0.120079756,0.015373256,0.018095603,0.819543936
GRB080310A,2.42,-5.638272164,0.113943352,2.32,10.56142698,2.09352,-11.3990271,4.32608056,1.59590648,0.878,0.03798676,0.0375,0.065276352,17.39875121,0.16,0.04247343,0.020701868,0.066814536,0.037764738,2.560456622
GRB080411A,1.03,-4.578396073,1.635483747,1.75,21.57289018,1.97674,-10.11350927,4.20932562,1.28909841,0.91,0.049275581,0.0,0.010296793,1.000967534,0.03,0.06043543,0.007762762,0.009047802,0.001645055,1.748188027
GRB080516A,3.2,-6.585026652,0.255272505,1.82,22.03528962,2.3315,-11.12090412,3.77452827,0.94016916,1.48,0.111057696,0.03,0.084888358,0.213016433,0.27,0.077803665,0.015950321,0.072382414,0.066814536,0.763427994
GRB080607A,3.036,-4.619788758,1.36361198,1.31,22.38386741,2.03418,-10.0540393,3.46298403,1.7256074,1.06,0.069659314,0.02,0.037637388,3.285061929,0.04,0.11042072,0.018059295,0.02068069,0.0,1.899984563
GRB080710A,0.845,-5.853871964,0.0,1.47,20.89722339,2.00149,-11.23284413,4.09266933,1.52133785,1.3,0.054210787,0.150517844,0.06401643,17.43704666,0.23,0.06269498,0.063106776,0.086858896,0.062042069,2.077948999
GRB080810A,3.35,-5.337242168,0.301029996,1.34,21.45079548,2.11482,-9.931814138,3.2687548,1.44529526,1.079,0.039738688,0.0015,0.036139295,4.337190332,0.06,0.031830706,0.01776998,0.043429448,0.018882369,2.03666881
GRB080928A,1.692,-5.602059991,0.322219295,1.77,21.51035195,2.13864,-11.1260984,4.08450503,1.76031774,0.99,0.047916769,0.0,0.075970735,20.80043462,0.12,0.064484035,0.03226255,0.02068069,0.034743559,2.368584372
GRB081007A,0.5295,-6.148741651,0.414973348,2.51,21.69605744,2.102,-10.58502665,3.58176278,1.00469263,0.92,0.084284398,0.005,0.039134851,2.937133306,0.2,0.053161115,0.127558079,0.066814536,0.048934589,0.958563883
GRB081008A,1.9685,-5.366531544,0.113943352,1.69,21.1376737,1.98207,-10.79317412,3.85550833,1.47398467,0.84,0.056285684,0.025,0.063988679,40.34414957,0.07,0.06052989,0.094454132,0.033407268,0.020199743,2.268297087
GRB081029A,3.8479,-5.677780705,-0.301029996,1.43,21.49704581,1.95818,-11.86327943,4.48156171,2.51960373,0.87,0.04285341,0.001,0.169198521,45.6827768,0.18,0.083250805,0.073480659,0.173717793,0.041361379,2.431283332
GRB081221A,2.26,-4.742321425,1.260071388,1.21,21.57331844,2.4947,-9.354577731,2.93195749,1.23586126,0.991,0.031176651,0.0005,0.012861856,0.8019177,0.13,0.0249855,0.010243189,0.011931167,0.007198251,1.531478917
GRB081230A,2.1,-6.086186148,-0.15490196,1.97,20.67248024,2.08621,-11.32975415,3.66959365,0.99376498,1.02,0.08735027,0.02,0.040381418,13.77430841,0.096969697,0.0701444,0.098551996,0.14222597077100751,0.02568693,0.9072092264554434
GRB090102A,1.547,-7.167491087,0.740362689,1.36,21.72376179,1.76997,-9.457174573,3.15380077,1.42487631,0.667,0.041590346,0.002673458,0.021786596,2.240000004,0.08,0.036239983,0.036030357,0.063170107,0.019160051,1.432006687
GRB090205A,4.6497,-6.721246399,-0.301029996,2.15,21.81792086,2.03416,-11.3419886,3.70655,1.29089,1.01,0.114585,0.025,0.084185,1.794079127,0.23,0.13445,0.088540757,0.086858896,0.068572813,0.944482672
GRB090423A,8.26,-6.229147988,0.230448921,0.8,22.7516324,1.8158,-11.2798407,3.91521772,1.43267533,0.77,0.077643595,0.005,0.064053366,1.061728761,0.5,0.08569564,0.044767276,0.051093469,0.029443694,0.989894564
GRB090424A,0.544,-4.677780705,1.851258349,1.19,21.63012977,1.96315,-9.050609993,2.99599056,1.1284106,0.924,0.013394814,0.0,0.005546887,2.27250697,0.15,0.011257098,0.020561192,0.012233647,0.0,1.681241237
GRB090426A,2.609,-6.744727495,0.380211242,1.93,21.31103934,2.03664,-10.66550001,2.64657,1.00429,0.64,0.104665,0.0165,0.042666,0.257899207,0.22,0.08725,0.093336835,0.05428681,0.072382414,0.079181246
GRB090519A,3.85,-5.920818754,-0.22184875,1.02,22.13069392,1.46604,-11.76000021,3.44619,1.42452,0.63,0.24029,0.03,0.3065,8.24011649,0.2,0.21145,0.055916205,0.144764827,0.036191207,1.806179974
