GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
150413A,3.139,L,-12.0394,0.03439,4.502865,0.019262,2.371952,0.046266,1.3,1.15,1.75,0.14,1.9950153337167518,-5.366531544,0.040399487,21.25058364392849,0.204119983,0.081430215,2.420945406
150910A,1.3585,L,-10.88,0.03,2.99,0.025,1.239,0.008,0.53,0.14,1.42,0.12,1.78547,-5.318758763,0.036191207,20.842422,0.041392685,0.157925266,2.049992857
151027A,0.81,L,-11.4508,0.01712,4.619188,0.010892,1.852192,0.014865,0.97,0.04,1.72,0.05,2.00612,-5.107905397,0.011135756,21.65076489,0.832508913,0.038320101,2.11290649
160131A,0.972,L,-11.1733,0.041241,4.001806,0.050707,1.287451,0.038892,0.97,0.04,1.24,0.05,2.02332,-4.690369833,0.010644473,21.680967,0.806179974,0.020357554,2.511883361
160314A,0.726,L,-12.5865,0.156279,2.806841,0.384008,0.607458,0.053103,0.9,0.09,1.53,0.22,1.95129,-6.552841969,0.062042069,11.89812103,-0.045757491,0.096509885,0.941014244
160425A,0.555,L,-12.4781,0.257417,3.623299,0.431716,0.859364,0.204329,1.5,0.09,2.2,0.18,2.51113,-5.677780705,0.041361379,22.05510681,0.447158031,0.031021034,2.483701382
160804A,0.736,L,-12.9742,0.063504,4.72111,0.077461,1.018609,0.087949,0.9,0.07,1.4,0.23,1.87827,-4.943095149,0.011428802,21.30214687,0.462397998,0.044927015,2.15896526
161014A,2.823,L,-12.6812,0.140665,3.993669,0.162303,1.360776,0.140234,0.8,0.06,1.47,0.15,1.83236,-5.721246399,0.045715209,22.18657496,0.462397998,0.089854031,1.26245109
161023A,2.71,L,-11.91,0.05,4.55,0.04,1.36,0.02,0.66,0.08,1.4842948827309896,0.1590307472179342,1.9542974144585417,-5.420565983485856,0.02554061741901925,21.187248830385254,0.5882097915072286,0.04514569017364976,1.643452676
161219B,0.1475,L-SN-C,-12.9799,0.075567,6.538578,0.110939,0.890149,0.142427,0.49723,0.01068,1.29,0.35,1.86204,-5.823908741,0.028952965,21.16590877,0.72427587,0.032776942,0.84135947
170113A,1.968,L,-12.5021,0.110016,3.874501,0.186127,1.095671,0.149224,0.8,0.04,0.75,0.59,1.81917,-6.173925197,0.04537405,21.4429483,0.041392685,0.039481317,1.315130317
170405A,3.51,L,-12.7562,0.259204,4.195041,0.180551,1.640802,0.148582,0.8,0.05,1.59,0.12,1.8473,-5.431798276,0.035213066,13.21022485,0.09925051772836557,0.08286827829817549,2.216693599
170607A,0.557,L,-11.9084,0.023499,4.186609,0.035487,0.979571,0.024256,0.9,0.04,1.61,0.07,1.94001,-5.124938737,0.017371779,20.90203663,1.0833454232818145,0.0231184496675564,1.361727836
170714A,0.793,UL,-13.2172,0.263786,4.460403,0.217775,1.851865,0.533548,0.9,0.03,1.76,0.17,1.84715,-5.552841969,0.046531552,21.06857952,-0.397940009,0.217147241,3.0
180115A,2.487,L,-11.6085,0.057564,3.061361,0.086722,0.97054,0.036237,0.9,0.06,1.66,0.22,1.9512,-6.119186408,0.062858412,20.61397389,-0.22184875,0.144764827,1.611723308
180205A,1.409,L,-12.8827,0.024501,5.013912,0.030888,1.074976,0.047995,0.9,0.09,2.04,0.13,1.88733,-6.0,0.043429448,21.4933967,0.531478917,0.038320101,1.190331698
180325A,2.248,L,-12.717,0.072161,3.915432,0.045784,1.426558,0.049597,1.13703,0.1041,1.18,0.05,1.85846,-5.187086643,0.013362907,22.14319598,0.973127854,0.013860462,1.973589623
181010A,1.39,L,-13.2571,0.240586,3.523935,0.230566,1.570878,0.289703,0.9,0.05,1.52,0.15,1.76613,-6.161150909,0.04405886,22.27837171,0.146128036,0.062042069,1.214843848
181201A,0.45,L,-11.6955,0.026476,4.749372,0.024124,1.151212,0.006098,0.57781,0.02953,1.6235777840195682,0.17823576569606148,1.9791361278314552,-5.371530119119361,0.028823041650868172,21.146843483299797,0.899550776141651,0.02931249606996463,1.283301229
191011A,1.722,L,-12.8184,0.089478,3.303409,0.236045,0.811693,0.140267,0.9,0.09,1.94,0.17,1.81479,-6.48148606,0.052641755,21.65033473,0.255272505,0.048254942,0.867467488
200613A,1.2255,L,-12.785,0.113922,5.199503,0.166694,0.923123,0.132474,0.9,0.09,1.7465672554506322,0.17627332375135063,2.009964233485637,-5.23247535249562,0.041388018888279046,20.993804988080658,0.2283698999116428,0.06944996838398088,2.580924976
200829A,1.25,L,-10.8633,0.026536,3.317225,0.036463,1.301598,0.022447,0.9,0.04,0.83,0.03,1.88219,-4.292429824,0.008515578,21.08966848,1.994317153,0.007040235,1.115277591
201014A,4.56,L,-13.7541,0.092274,5.031584,0.110179,1.038298,0.170451,0.9,0.15,2.55,0.37,1.97336,-6.508638306,0.098066496,22.1524657,-0.522878745,0.289529655,1.558708571
201015A,0.426,L,-12.8744,0.09442,4.275441,0.229803,0.481067,0.027144,1.1,0.24,3.03,0.68,2.1574,-6.698970004,0.130288345,21.35536147,0.255272505,0.096509885,0.990338855
201020A,2.903,L,-12.091,0.128558,3.793643,0.192264,0.728842,0.056032,1.1,0.11,2.25,0.14,2.0761,-6.036212173,0.033044145,20.93258486,0.322219295,0.041361379,1.15136985
201021C,1.07,L,-11.1691,0.102098,2.88042,0.137291,1.034879,0.035385,0.6,0.09,1.63,0.15,1.6168,-6.0,0.043429448,20.75199541,0.0,0.086858896,1.387033701
020124A,3.198,L,-12.7747,0.05493,4.454184,0.065307,1.961572,0.072088,1.32,0.25,1.6600194741877357,0.1627886143529108,2.0223621522445168,-5.790453301133065,0.03231248456043237,21.118196542364263,0.2860685550626316,0.06871371483822665,1.661907293
021004A,2.34,L,-12.92,0.02,5.4,0.02,1.33,0.03,0.67,0.14,1.671868878836442,0.19381970419137529,1.964380804036829,-5.4654758030823825,0.03635611594756101,21.08107527177258,0.35542931815309764,0.062431543050404006,2.0
210204A,0.876,L,-12.0073,0.017214,4.489641,0.039841,1.06783,0.028803,0.73,0.16,1.7104787117534632,0.14378157597108476,1.9895733311955675,-5.184512286668492,0.033853854254508584,21.0584880674433,0.49302557619772536,0.05349333644157726,2.301029996
