"formula_idx","wins","formula"
1460,2,"Response ~  (log10PeakFluxSqr+log10NHSqr+log10Fluence+Gamma+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
1568,2,"Response ~  (GammaSqr+log10T90Sqr+log10PeakFluxSqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+PhotonIndexSqr+log10FluenceSqr"
1583,2,"Response ~  (log10FluenceSqr+GammaSqr+log10T90Sqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr"
1729,2,"Response ~  (GammaSqr+log10NHSqr+log10Fluence+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
1786,2,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
1797,2,"Response ~  (log10PeakFluxSqr+log10Fluence+Gamma+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
1807,2,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
1870,2,"Response ~  (log10FluenceSqr+log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr"
1982,2,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
2191,2,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10T90+log10PeakFlux)^2+log10NH+PhotonIndex+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
2392,2,"Response ~  (log10FluenceSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+log10Fluence+log10T90Sqr+GammaSqr"
2422,2,"Response ~  (log10FluenceSqr+GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr"
2884,2,"Response ~  (log10FluenceSqr+GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr"
87,1,"Response ~  (GammaSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
133,1,"Response ~  (log10FluenceSqr+GammaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr"
243,1,"Response ~  (log10NHSqr+log10Fluence+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
284,1,"Response ~  (GammaSqr+PhotonIndexSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10PeakFluxSqr+log10T90Sqr+log10FluenceSqr"
618,1,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
859,1,"Response ~  (log10PeakFluxSqr+log10Fluence+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
909,1,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr"
1069,1,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
1574,1,"Response ~  (log10FluenceSqr+GammaSqr+log10T90Sqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10PeakFluxSqr+PhotonIndexSqr"
1878,1,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
