"GRB","Redshift_crosscheck","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","is_optical"
"050826A",0.297,1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.23405,0.13858,0.23538,0.03,0.075712355,0.31,0.148574428,0
"050904A",6.295,2.259044094,-11.4378944868069,4.35698284448173,1.85403917047081,0.923476512834974,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,NA,0.822149219309295,0.620364800697704,0.302952587615337,0.201864729516789,0.016184888,0.07,0.119080745,1
"050908A",3.34,1.239799818,-10.7673117906094,3.53466862290029,1.13329770882728,1.0022034395342,2.74883,-6.316052869,1.88,14.58600523,-0.15490196,NA,0.795529154351559,0.610443563406405,0.280073065340727,0.225930470347336,0.045857181,0.17,0.086858896,1
"050922C",2.198,0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,0
"051016B",0.9364,0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,0
"051028A",3.6,1.204119983,-10.9600751246855,3.8190899067996,1.2310212399095,0.93000176834023,2.02921982175251,-6.17568341398607,1.6783282458665,20.9024195385481,0.179466033655192,NA,0.801688900423771,0.614375831245878,0.2816978859685,0.203168147855912,0.0451414448022833,0.236991174642203,0.0749534429882672,1
"051109A",2.346,1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,0
"051109B",0.08,1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,0.069554976,0.24,0.102651423,0
"051111A",1.55,1.776555911,-10.0374386946919,3.36520319783637,1.21832755364389,0.903418581185592,2.23019,-5.389339837,1.32,21.79196559,0.424881637,NA,0.801170734300789,0.611034859760649,0.276989134184434,0.198093567912198,0.014263593,0.06,0.034286406,1
"051221A",0.5465,0.146128036,-11.69464863,4.20075,1.09586,0.89,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978045,0.063,0.085085,0.05576,0.005,0.013217658,0.06,0.014114571,0
"060115A",3.53,2.144885418,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747,15.0870791,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,0
"060124A",2.296,1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,0
"060206A",4.048,0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,0
"060210A",3.91,2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,0
"060223A",4.41,1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,0
"060306A",1.559,2.13255996245349,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,0
"060418A",1.489,2.158362492,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,0
"060502A",1.5026,1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,0
