"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"060707A",1.820857989,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.040986542,0.363636364,0.098898743,0.0414232996019404,3.425,0.645913275033844
"060708A",1.008600172,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.032528129,0.12,0.031340839,0.153333382237578,1.92,0.465382851448418
"060714A",2.060660074,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.025627978,0.11,0.044108033,0.0344798070207195,2.711,0.569490954348783
"060729A",2.062017599,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.035109631,0.14,0.048254942,0.127647038192483,0.54,0.187520720836463
"060814A",2.162265614,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.007109341,0.03,0.017323989,0.0146412491965932,1.9229,0.465813957269479
"060904B",2.234264124,2.18877,-5.790484985,1.64,21.59122827,0.387389826,1.073372291,0.038335871,0.14,0.037377804,0.0027181321481967,0.7,0.230448921378274
"060906A",1.638489257,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.026725814,0.11,0.061727135,0.0815374132437055,3.686,0.670802284260944
"060908A",1.285557309,2.13395,-5.552841969,1,21.80952201,0.481442629,1.330335293,0.017216674,0.181818182,0.035832878,0.0299356101990356,1.8836,0.459935016851525
"060912A",0.698970004,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.019945376,0.09,0.022271512,0.0503781599397554,0.937,0.287129620719111
"060926A",0.903089987,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.049576996,0.23,0.055780943,0.0658325115034435,3.2,0.6232492903979
"060927A",1.352953912,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.026134535,0.242424242,0.027344467,0.0249377639674928,5.47,0.8109042806687
"061007A",1.876852648,1.99824,-4.35261703,1.03,21.74186197,1.164352856,64.76757163,0.005497151,0.03,0.011006093,0.373498857248208,1.26,0.354108439147401
"061021A",1.664641976,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.014818832,0.06,0.019191409,0.0507507174713444,0.3463,0.129141845792285
"061121A",1.90982337,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.006308365,0.03,0.009468031,0.246558916936231,1.314,0.364363354615731
"061126A",2.281033367,1.9269241917552,-5.169411331,1.32,21.38058204,0.989449818,0.277416677,0.0190994093843814,0.06,0.0246693811930976,0.000630788126061573,1.1588,0.334212409393176
