"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
54,1162,0.6667,3033,1.2279,3033,-0.2449,16,8,2.7,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Beta+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Gamma+log10Ta+log10NHSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
55,972,0.6959,972,1.1127,5622,-0.0976,17,9,2.6,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
56,7031,0.4109,2242,1.367,2242,-0.0101,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+log10Ta+Gamma+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
57,5396,0.3546,3480,1.1969,8433,-0.1853,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+PhotonIndexSqr+BetaSqr+log10TaSqr"
58,2302,0.3945,2302,1.5452,5481,0.1578,17,9,2.7,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+Beta_opt+Beta+Gamma+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
59,1229,0.4452,1229,1.3396,4458,-0.0022,17,9,2.8,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Gamma+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+log10TaSqr"
60,5396,0.6239,5396,1.2087,5376,-0.2212,17,9,2.8,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+PhotonIndexSqr+BetaSqr+log10TaSqr"
61,850,0.3735,850,1.1659,5257,-0.1328,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
62,210,0.6795,210,1.0488,656,-0.0286,17,9,2.8,"Response ~  (Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
63,5322,0.5812,5322,1.2166,6229,0.0026,17,9,2.7,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Gamma+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+log10Ta+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
64,1443,0.6922,1443,0.9792,2172,-0.0082,14,7,2.7,"Response ~  (GammaSqr+BetaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
65,5396,0.6669,5097,1.0936,6822,0.1293,14,7,2.8,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+PhotonIndexSqr+BetaSqr+log10TaSqr"
66,3827,0.5407,3827,1.0489,6671,-0.017,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
67,850,0.5425,850,1.1786,851,-0.103,17,9,2.6,"Response ~  (BetaSqr+Beta_optSqr+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
68,1452,0.3031,1452,1.3269,739,-0.181,17,9,2.6,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
69,1602,0.6506,1602,1.2325,6160,0.027,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
70,2365,0.4235,2365,1.1591,4794,-0.25,17,9,2.7,"Response ~  (log10TaSqr+log10Ta+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr"
71,2382,0.5592,369,1.2891,4462,-0.0013,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
72,2545,0.6497,2545,1.1172,225,-0.4122,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+PhotonIndexSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+GammaSqr+log10TaSqr"
73,2846,0.4785,2846,1.122,1922,-0.0882,17,9,2.8,"Response ~  (log10TaSqr+Beta_optSqr+log10Ta+Beta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta_opt+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
74,4787,0.4972,4787,0.9614,1942,0.0039,16,8,2.7,"Response ~  (BetaSqr+PhotonIndexSqr+Beta+Beta_opt+PhotonIndex+log10PeakFlux)^2+log10NH+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+Beta_optSqr+GammaSqr+log10TaSqr"
75,2353,0.3965,2353,1.8135,2540,-0.0021,17,9,2.7,"Response ~  (log10PeakFluxSqr+Gamma+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
76,5112,0.5017,5112,1.5896,5114,-0.1911,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+Gamma+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
77,2366,0.3371,2366,1.2666,2366,0.0257,17,9,2.7,"Response ~  (log10PeakFluxSqr+log10NHSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
78,5322,0.454,3261,1.3094,5112,-0.3343,17,9,2.7,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Gamma+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+log10Ta+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
79,882,0.5721,882,1.1924,7004,-0.0619,16,8,2.7,"Response ~  (Beta_optSqr+PhotonIndexSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+BetaSqr+GammaSqr+log10TaSqr"
80,447,0.4353,447,1.1975,631,0.2518,17,9,2.7,"Response ~  (GammaSqr+BetaSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
81,2192,0.6027,2192,1.0526,2192,-0.0927,16,8,2.7,"Response ~  (BetaSqr+Beta+Beta_opt+PhotonIndex+log10PeakFlux)^2+log10NH+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
82,3296,0.506,3296,1.1714,1526,-0.0117,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+log10PeakFluxSqr+log10Ta+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Gamma+log10NHSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
83,2374,0.639,2374,1.3432,9579,-0.3643,17,9,2.7,"Response ~  (BetaSqr+log10PeakFluxSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
84,2352,0.534,2352,1.3707,2070,-0.2061,16,8,2.7,"Response ~  (log10NHSqr+Gamma+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
85,1575,0.6475,1575,1.0631,2540,-0.2127,17,9,2.8,"Response ~  (Beta_optSqr+Gamma+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
86,5097,0.4372,6726,1.3205,8754,-0.0665,17,9,2.7,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
87,1575,0.6965,1575,0.9483,886,-0.1856,16,8,2.7,"Response ~  (Beta_optSqr+Gamma+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
88,3639,0.412,3639,1.2175,9935,-0.1931,15,8,2.7,"Response ~  (log10NHSqr+Gamma+Beta+Beta_opt+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
89,2530,0.247,2530,1.4456,3882,0.1409,17,9,2.8,"Response ~  (GammaSqr+Beta_optSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
90,687,0.5092,687,1.2951,6868,-0.0235,17,9,2.7,"Response ~  (BetaSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
91,1602,0.5827,2242,1.2763,2643,-0.3619,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
92,1533,0.7472,1533,0.9541,7118,0.0142,15,8,2.7,"Response ~  (GammaSqr+Beta+Beta_opt+log10PeakFlux+log10NH)^2+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+log10TaSqr"
93,5142,0.4978,5142,1.1354,9460,-0.1614,17,9,2.7,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+log10TaSqr"
94,743,0.4079,181,1.1705,181,-0.0019,17,9,2.8,"Response ~  (GammaSqr+BetaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
95,1687,0.3615,1687,1.2608,3289,0.0247,17,9,2.7,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
96,6872,0.468,1000,1.1656,1000,-0.2538,17,9,2.7,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+Beta+Beta_opt+log10PeakFlux+log10NH)^2+PhotonIndex+Gamma+log10Ta+log10NHSqr+Beta_optSqr+BetaSqr+log10TaSqr"
97,2381,0.3751,1043,1.1995,2531,-0.2628,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
98,2378,0.5156,2378,1.252,10388,-0.4442,17,9,2.7,"Response ~  (BetaSqr+PhotonIndexSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+Beta_optSqr+GammaSqr+log10TaSqr"
99,3833,0.416,3833,1.1585,4708,-0.1484,16,8,2.8,"Response ~  (GammaSqr+Beta_optSqr+PhotonIndexSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+BetaSqr+log10TaSqr"
100,2506,0.5597,2506,1.3664,1951,-0.415,17,9,2.7,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10Ta+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
