"formula_idx","wins","formula"
2054,2,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr"
2369,2,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2514,2,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
3361,2,"Response ~  (log10T90Sqr+AlphaSqr+log10TaSqr+log10T90+Alpha)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr"
3479,2,"Response ~  (log10FaSqr+log10Fa+log10NH+PhotonIndex+log10PeakFlux+log10Ta)^2+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
4923,2,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
5121,2,"Response ~  (log10FaSqr+log10TaSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
5148,2,"Response ~  (log10FaSqr+log10NHSqr+log10TaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
5401,2,"Response ~  (log10FaSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+AlphaSqr+log10T90Sqr"
5422,2,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+AlphaSqr"
5724,2,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+log10Fa+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
7348,2,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+log10Fa+log10NH+PhotonIndex+log10Ta)^2+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr"
28,1,"Response ~  (PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
79,1,"Response ~  (log10PeakFluxSqr+log10T90)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+Alpha+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
