"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
62,2050,0.4737,3998,0.189,6373,0.1137,17,81.5,"Response ~ (log10FaSqr + log10TaSqr + PhotonIndexSqr + log10Fa +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + log10PeakFluxSqr + BetaSqr + log10T90Sqr"
63,420,0.5616,475,0.1645,420,0.1103,17,81.3,"Response ~ (PhotonIndexSqr + log10PeakFluxSqr + log10T90)^2 +      log10NH + log10PeakFlux + PhotonIndex + log10Ta + log10Fa +      Beta + log10NHSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
64,1532,0.6346,1532,0.1627,942,0.086,17,81.8,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10PeakFlux +      log10NH)^2 + PhotonIndex + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr +      log10T90Sqr"
65,4619,0.3465,4619,0.1748,1329,0.1402,17,82.1,"Response ~ (log10FaSqr + log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10Fa + log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta +      Beta + log10T90 + log10NHSqr + BetaSqr + log10T90Sqr"
66,2600,0.4282,1103,0.2066,2559,0.1,17,84,"Response ~ (log10T90Sqr + BetaSqr + log10PeakFluxSqr + Beta +      log10PeakFlux)^2 + log10NH + PhotonIndex + log10Ta + log10Fa +      log10T90 + log10NHSqr + PhotonIndexSqr + log10TaSqr + log10FaSqr"
67,886,0.4776,886,0.1687,2600,0.1113,13,85.3,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
68,6643,0.459,886,0.1746,384,0.1029,17,88.7,"Response ~ (log10T90Sqr + log10FaSqr + log10T90 + log10Fa + PhotonIndex +      log10PeakFlux + log10NH)^2 + log10Ta + Beta + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
69,9846,0.4595,1766,0.1884,8069,0.1253,14,80.9,"Response ~ (log10T90Sqr + log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10NHSqr + log10T90 + log10Fa)^2 + log10NH + log10PeakFlux +      PhotonIndex + log10Ta + Beta + log10FaSqr + BetaSqr"
70,666,0.5874,666,0.1641,4593,0.1115,8,83.4,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10NH)^2 +      log10PeakFlux + PhotonIndex + log10Ta + Beta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
71,7555,0.4289,3285,0.1799,7566,0.1093,17,80.9,"Response ~ (log10T90Sqr + log10TaSqr + log10PeakFluxSqr + log10T90 +      log10Fa + PhotonIndex + log10NH)^2 + log10PeakFlux + log10Ta +      Beta + log10NHSqr + PhotonIndexSqr + log10FaSqr + BetaSqr"
72,3816,0.4186,3816,0.1656,4467,0.0998,15,81,"Response ~ (log10FaSqr + log10TaSqr + log10NHSqr + log10Fa +      log10PeakFlux + log10NH)^2 + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
73,5870,0.5711,6108,0.1613,2507,0.0827,17,81.2,"Response ~ (log10T90Sqr + log10FaSqr + log10TaSqr + log10NHSqr +      log10Fa + PhotonIndex)^2 + log10NH + log10PeakFlux + log10Ta +      Beta + log10T90 + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr"
