"","log10NH","PhotonIndex","log10PeakFlux","Beta","Beta_opt","log10Fluence","Alpha_opt","log10Ta_opt","Gamma","log10Ta","log10Fa","log10T90","Alpha","log10Fa_opt","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","BetaSqr","Beta_optSqr","log10FluenceSqr","Alpha_optSqr","log10Ta_optSqr","GammaSqr","log10TaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","log10Fa_optSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","Beta_opt","Beta_opt_opt","log10Fluence_opt","Alpha_opt_opt","log10Ta_opt_opt","Gamma_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","log10Fa_opt_opt","Redshift_crosscheck","log10z"
"081007A",21.69605744,2.51,0.414973348,0.92,0,-6.148741651,0,0,2.102,3.58176278,-10.58502665,0.958563883,1.00469263,0,470.718908439779,6.3001,0.172202879550329,0.8464,0,37.8070238907422,0,0,4.418404,12.8290246121933,112.04278918121,0.918844717792038,1.00940728077632,0,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0,0,0,0,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
"081008A",21.1376737,1.69,0.113943352,0.84,0,-5.366531544,0,0,1.98207,3.85550833,-10.79317412,2.268297087,1.47398467,0,446.801249447672,2.8561,0.0129830874649959,0.7056,0,28.799660812747,0,0,3.9286014849,14.8649444826994,116.492607584638,5.14517167489269,2.17263080739501,0,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0,0,0,0,0.020199743,0.07,0.033407268,"081008A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9685,0.472537053262077
"081028A",20.90308999,1.25,-0.301029996,0.945,0,-5.431798276,0,0,2.51,4.75426,-11.3994,2.414973348,2.20023,0,436.939171130038,1.5625,0.09061905849176,0.893025,0,29.5044325111566,0,0,6.3001,22.6029881476,129.94632036,5.83209627155033,4.8410120529,0,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0,0,0,0,0.023475377,0.38,0.086858896,"081028A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.038,0.60616631460762
"081029A",21.49704581,1.43,-0.301029996,0.87,0,-5.677780705,0,0,1.95818,4.48156171,-11.86327943,2.431283332,2.51960373,0,462.122978557239,2.0449,0.09061905849176,0.7569,0,32.2371937340703,0,0,3.8344689124,20.0843953605381,140.737398834261,5.91113864046102,6.34840295622991,0,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0,0,0.036055,0,0.041361379,0.18,0.173717793,"081029A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8479,0.685553652846326
"081203A",21.66176916,1.54,0.462397998,0.82,0,-5.113509275,0,0,2.03508,4.02089,-10.9243983,2.46834733,1.86904,0,469.232243141127,2.3716,0.213811908554408,0.6724,0,26.147977105511,0,0,4.1415506064,16.1675563921,119.342478217043,6.09273854151813,3.4933105216,0,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0,0,0,0,0.016920564,0.06,0.029951344,"081203A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"081221A",21.57331844,1.21,1.260071388,0.991,0,-4.742321425,0,0,2.4947,2.93195749,-9.354577731,1.531478917,1.23586126,0,465.408068513644,1.4641,1.58777990285625,0.982081,0,22.489612498014,0,0,6.22352809,8.5963747231671,87.5081245253211,2.34542767321549,1.52735305396879,0,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0,0,0,0,0.007198251,0.13,0.011931167,"081221A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0.513217600067939
"081228A",21.16936021,2.1,-0.22184875,0,1.24,-7.050609993,1.18347,2.80122,2.11824052948599,0,0,0.477121255,0,-12.9876,448.141811700731,4.41,0.0492168678765625,0,1.5376,49.7111012733915,1.4006012409,7.8468334884,4.48694294075709,0,0,0.227644691972775,0,168.67775376,0.0552798328138297,0,0,0,0,0.0492,0.047595,0.036055,0.285,0.0674679414874554,0.31,0.103319586082909,"081228A",1,5.2923400525,0.525,-0.0554621875,0,0.31,-1.76265249825,0.2958675,0.700305,0.529560132371497,0,0,0.11928031375,0,-3.2469,3.44,0.64738297011462
"081230A",20.67248024,1.97,-0.15490196,1.02,0,-6.086186148,0,0,2.08621,3.66959365,-11.32975415,0.907209226455443,0.99376498,0,427.35143927319,3.8809,0.0239946172118416,1.0404,0,37.0416618281071,0,0,4.3522721641,13.4659175561203,128.363329099442,0.823028580565883,0.9875688354744,0,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0,0,0,0,0.02568693,0.096969697,0.142225970771007,"081230A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090102A",21.72376179,1.36,0.740362689,0.667,0,-7.167491087,0,0,1.76997,3.15380077,-9.457174573,1.432006687,1.42487631,0,471.921826308664,1.8496,0.548136911263311,0.444889,0,51.3729284822244,0,0,3.1327938009,9.94645929685259,89.4381509041977,2.05064315161272,2.03027249879922,0,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.08,0.101225,0.08,0.01,0.019160051,0.08,0.063170107,"090102A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547,0.406028944963615
"090205A",21.81792086,2.15,-0.301029996,1.01,0,-6.721246399,0,0,2.03416,3.70655,-11.3419886,0.944482672,1.29089,0,476.021670653223,4.6225,0.09061905849176,1.0201,0,45.1751531560705,0,0,4.1378069056,13.7385129025,128.64070540253,0.89204751770826,1.6663969921,0,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0,0,0,0,0.068572813,0.23,0.086858896,"090205A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6497,0.752025387323213
"090313A",22.44115763,1.91,-0.096910013,0,1,-5.853871964,0.938086,3.487381,2.07619,0,0,1.893872679,0,-11.4731,503.605555774507,3.6481,0.00939155061966017,0,1,34.2678169709052,0.880005343396,12.161826239161,4.3105649161,0,0,3.58675372426264,0,131.63202361,0.0434736058796182,0,0,0,0,0.110788,0.148455,0.040385,0.103,0.062042069,0.29,0.162860431,"090313A",1,5.6102894075,0.4775,-0.02422750325,0,0.25,-1.463467991,0.2345215,0.87184525,0.5190475,0,0,0.47346816975,0,-2.868275,3.38,0.6414741105041
"090418A",22.02365981,1.48,0.278753601,0.98,0,-5.337242168,0,0,2.03408,3.52813657,-10.04720756,1.748188027,1.52909667,0,485.041591426609,2.1904,0.0777035700704672,0.9604,0,28.4861539598773,0,0,4.1374814464,12.4477476565714,100.946379753721,3.05616137774615,2.33813662620509,0,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0,0,0,0,0.018882369,0.07,0.068572813,"090418A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.608,0.416307587059883
"090423A",22.7516324,0.8,0.230448921,0.77,0,-6.229147988,0,0,1.8158,3.91521772,-11.2798407,0.989894564,1.43267533,0,517.63677686473,0.64,0.0531067051900642,0.5929,0,38.8022846564045,0,0,3.29712964,15.328929795002,127.234806217376,0.97989124783675,2.05255860119061,0,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0,0.02,0,0,0.029443694,0.5,0.051093469,"090423A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0.966610986681934
"090424A",21.63012977,1.19,1.851258349,0.924,0,-4.677780705,0,0,1.96315,2.99599056,-9.050609993,1.681241237,1.1284106,0,467.86251386704,1.4161,3.42715747474221,0.853776,0,21.8816323240703,0,0,3.8539579225,8.97595943560911,81.9135412453915,2.82657209698929,1.27331048219236,0,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0,0,0,0,0.15,0.012233647,"090424A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,0.188647295999717
"090519A",22.13069392,1.02,-0.22184875,0.63,0,-5.920818754,0,0,1.46604,3.44619,-11.76000021,1.806179974,1.42452,0,489.767613380725,1.0404,0.0492168678765625,0.3969,0,35.0560947177181,0,0,2.1492732816,11.8762255161,138.2976049392,3.26228609847864,2.0292572304,0,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0,0,0,0,0.036191207,0.2,0.144764827,"090519A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0.685741738602264
"090529A",22.03528962,2,-0.397940009,0.64,0,-6.167491087,0,0,2.22623,4.472757799,-12.1873998,1.837651558,0.8815438,0,485.55398863728,4,0.15835625076292,0.4096,0,38.0379463082244,0,0,4.9561000129,20.0055623285153,148.53271388504,3.37696324861983,0.77711947131844,0,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0,0.01,0.05,0,0.10857362,0.3,0.108573621,"090529A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,0.559308010907013
"090530A",20.90942658,1.61,0.397940009,1.09,0,-5.958607315,0,0,2.03975,3.6839464,-11.16052195,1.681241237,0.88610581,0,437.204119904411,2.5921,0.15835625076292,1.1881,0,35.5050011343715,0,0,4.1605800625,13.571461078073,124.557250196432,2.82657209698929,0.785183506515756,0,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0,0,0,0,0.039481317,0.17,0.052115338,"090530A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,0.355259905527378
"090618A",21.39200012,1.42,1.589949601,0.8945,0,-3.978810701,0,0,1.82831,3.67275453,-9.640164518,2.05388479,1.30942861,0,457.61766913408,2.0164,2.52793973372006,0.80013025,0,15.8309345943921,0,0,3.3427174561,13.4891258376355,92.9327719341062,4.21844273059334,1.71460328468653,0,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0,0,0,0,0.004136138,0.08,0.008931506,"090618A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"090726A",22.02689264,2.25,-0.15490196,0,1.3,-6.065501549,1.086752,3.354189,2.4288,0,0,1.773054693,0,-12.2265,485.183999374086,5.0625,0.0239946172118416,0,1.69,36.7903090409214,1.181029909504,11.250583847721,5.89906944,0,0,3.14372294436932,0,149.48730225,0.246558916936231,0,0,0,0,0.098827,0.0975,0.195492,0.11,0.050499358,0.19,0.124084138,"090726A",1,5.50672316,0.5625,-0.03872549,0,0.325,-1.51637538725,0.271688,0.83854725,0.6072,0,0,0.44326367325,0,-3.056625,2.71,0.569373909615046
"090809A",21.91952315,1.34,0.041392685,0.96,0,-6.468521083,0,0,1.94644,4.56066,-11.8559,0.73239376,1.6367,0,480.465495123386,1.7956,0.00171335437150922,0.9216,0,41.8417650012155,0,0,3.7886286736,20.7996196356,140.56236481,0.536400619686938,2.67878689,0,0.0978170519448906,0.338,0.237865,0.319405,0.01,0,0,0,0,0.063866836,0.24,0.078962633,"090809A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,0.572523097849638
"090812A",21.77771022,1.24,0.556302501,0.53,0,-5.236572006,0,0,1.88559,3.52924,-10.16730017,1.824125834,1.37252,0,474.268662426292,1.5376,0.309472472618855,0.2809,0,27.4216863740229,0,0,3.5554496481,12.4555349776,103.373992746882,3.3274350582662,1.8838111504,0,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0,0,0,0,0.014975672,0.05,0.024127471,"090812A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.452,0.538070787043172
"090927A",21.01785522,1.8,0.301029996,0.92,0,-6.698970004,0,0,2.06549,4.20121889,-11.6716204,0.342422681,1.13087741,0,441.750238048881,3.24,0.09061905849176,0.8464,0,44.8761991144918,0,0,4.2662489401,17.6502401616928,136.226722761696,0.117253292463228,1.27888371644831,0,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0,0,0,0,0.065144172,0.2,0.043429448,"090927A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0.374748346010104
"091018A",21.19187281,1.77,1.012837225,0.91,0,-5.853871964,0,0,1.98015,2.89655535,-9.627087997,0.639486489,1.18074867,0,449.095473195217,3.1329,1.0258392443457,0.8281,0,34.2678169709052,0,0,3.9209940225,8.39003289561362,92.6808233019815,0.408942969613547,1.39416742170677,0,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0,0,0,0.01,0.031021034,0.24,0.016865805,"091018A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0.294686624279443
"091020A",21.70587483,1.53,0.62324929,0.895,0,-5.431798276,0,0,2.08587,2.95265011,-9.71219827,1.590061231,1.17417264,0,471.145002135627,2.3409,0.388439677485504,0.801025,0,29.5044325111566,0,0,4.3508536569,8.71814267208301,94.326795235791,2.52829471832924,1.37868138852457,0,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0,0,0,0,0.011737689,0.07,0.031021034,"091020A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0.432969290874406
"091029A",21.45058625,1.46,0.255272505,1.064,0,-5.619788758,0,0,2.11535,4.30368998,-11.34678749,1.593286067,1.12123368,0,460.127650468689,2.1316,0.065164051808975,1.132096,0,31.5820256845432,0,0,4.4747056225,18.5217474439524,128.74958634322,2.53856049129633,1.25716496516634,0,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0,0,0,0,0.018095603,0.27,0.024127471,"091029A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752,0.574262829707027
"091109A",21.89596701,1.31,0.113943352,0.89,0,-5.795880017,0,0,1.96352,3.37933883,-11.14630179,1.681241237,1.06152816,0,479.433371303008,1.7161,0.0129830874649959,0.7921,0,33.5922251714599,0,0,3.8554107904,11.4199309279458,124.240043593757,2.82657209698929,1.12684203447299,0,0.15117163716416,0.05941034,0.074268877,0.033719571,0.03,0,0,0,0,0.05428681,0.25,0.133629071,"091109A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.076,0.610234175334389
"091127A",20.87872913,2.05,1.667452953,0.758,0,-5.045757491,0,0,1.80187,3.98466812,-9.844663963,0.84260924,1.39581701,0,435.921330083911,4.2025,2.78039935046842,0.574564,0,25.4596686579826,0,0,3.2467354969,15.8775800265443,96.9174085443909,0.709990331333378,1.94830512540534,0,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0,0,0,0,0.014476483,0.07,0.025217099,"091127A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.173186268412274
"091208B",21.91211094,1.74,1.181843588,0.86,0,-5.48148606,0,0,2.03333,3.31388094,-10.18045606,1.173186268,1.1606541,0,480.140605846868,3.0276,1.39675426649671,0.7396,0,30.0466894259743,0,0,4.1344308889,10.9818068844953,103.641685589591,1.37636601942377,1.34711793984681,0,0.0844607534610546,0.036806415,0.052928177,0.030502454,0.034663611,0,0,0,0,0.026320878,0.11,0.028572005,"091208B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063,0.314499227973151
"100219A",21.39050236,1.34,-0.397940009,0,1.27,-6.431798276,1.67,3.37,1.58721,0,0,1.274157849,0,-12.92,457.553591213166,1.7956,0.15835625076292,0,1.6129,41.3680290631566,2.7889,11.3569,2.5192355841,0,0,1.62347822416831,0,166.9264,0.0563106258915239,0,0,0,0,0.1,0.07,0.18,0.08,0.070426132,0.25,0.10857362,"100219A",1,5.34762559,0.335,-0.09948500225,0,0.3175,-1.607949569,0.4175,0.8425,0.3968025,0,0,0.31853946225,0,-3.23,4.67,0.753583058892907
"100316B",21.41315218,2.23,0.113943352,1.08,0,-6.698970004,0,0,2.23535,3.5543767,-11.1481304,0.579783597,1.36246063,0,458.523086283839,4.9729,0.0129830874649959,1.1664,0,44.8761991144918,0,0,4.9967896225,12.6335937255029,124.280811415404,0.336149019350258,1.8562989683,0,0.0508837165764397,0.10431242,0.207348761,0.13322096,0.02,0,0,0,0,0.043429448,0.18,0.033407268,"100316B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.338456493604605
"100316D",21.60728985,2.29,-1,0,0.94,-6.522878745,2.12,6.41,2.49431,0,0,2.717570654,0,-12.9424,466.874974661913,5.2441,1,0,0.8836,42.5479471219728,4.4944,41.0881,6.2215823761,0,0,7.38519025948199,0,167.50571776,0.246558916936231,0,0,0,0,0.105554,0.06,0.18,0.05,0.115811862,0.41,0,"100316D",1,5.4018224625,0.5725,-0.25,0,0.235,-1.63071968625,0.53,1.6025,0.6235775,0,0,0.6793926635,0,-3.2356,0.06,0.0253058652647703
"100418A",22.1524657,2.16,0,0.84,0,-6.468521083,0,0,2.26662,5.54363,-12.48811664,0.84509804,1.81145,0,490.731736589677,4.6656,0,0.7056,0,41.8417650012155,0,0,5.1375662244,30.7318335769,155.953057214245,0.714190697211842,3.2813511025,0,0.059763875267383,0.10745,0.075475,0.16786,0.01,0,0,0,0,0.063866836,0.25,0.086858896,"100418A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6235,0.21045229296202
"100425A",20.53466438,2.42,0.146128036,1.46,0,-6.327902142,0,0,2.17077,3.60199415,-11.50168945,1.568201724,0.86819371,0,421.672441199241,5.8564,0.0213534029052173,2.1316,0,40.0423455187282,0,0,4.7122423929,12.9743618566342,132.288860204241,2.45925664715657,0.753760318083564,0,0.0442926372724909,0.070859065,0.115125536,0.055076895,0.035,0,0,0,0,0.083162773,0.32,0.062042069,"100425A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.755,0.440121603187804
"100508A",20.84356974,1.23,-0.397940009,0,0.4,-6.15490196,0.875389,4.020463,1.9368495003839,0,0,1.716003344,0,-12.8769,434.454399506244,1.5129,0.15835625076292,0,0.16,37.8828181372118,0.766305901321,16.164122734369,3.75138598713736,0,0,2.94466747661918,0,165.81455361,0.15117163716416,0,0,0,0,0.15766,0.387989,0.292399,0.07,0.0580980942149184,0.25,0.101108910335356,"100508A",1,5.210892435,0.3075,-0.09948500225,0,0.1,-1.53872549,0.21884725,1.00511575,0.484212375095975,0,0,0.429000836,0,-3.219225,0.5201,0.181872159010334
"100513A",22.05240534,1.62,-0.22184875,1.36,0,-5.853871964,0,0,2.25722,3.74522911,-11.57186521,1.924279286,0.96306136,0,486.30858127966,2.6244,0.0492168678765625,1.8496,0,34.2678169709052,0,0,5.0950421284,14.0267410863914,133.908064438408,3.70285077052867,0.92748718312505,0,0.0768849139302361,0.09817689,0.128616618,0.061569437,0.025,0,0,0,0,0.031021034,0.14,0.072382414,"100513A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.772,0.761326322421457
"100704A",21.52730245,1.73,0.633468456,1.29,0,-5.22184875,0,0,2.11575,3.62503495,-10.35163999,2.2955671,1.01294211,0,463.424750773776,2.9929,0.401282284747024,1.6641,0,27.2677043678766,0,0,4.4763980625,13.1408783887215,107.156450482567,5.26962831060241,1.02605171821125,0,0.0511462884983093,0.04763446,0.053639373,0.01813996,0.01,0,0,0,0,0.014476483,0.06,0.020199743,"100704A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.662757831681574
"100728A",21.52592288,1.18,0.707570176,0.96,0,-4.420216403,0,0,1.90402,4.03148606,-10.17587417,2.297760511,1.5588143,0,463.365355835707,1.3924,0.500655553964671,0.9216,0,19.5383130493503,0,0,3.6252921604,16.2528798519743,103.548415123673,5.27970336591098,2.42990202188449,0,0.0276692267863542,0.0760751,0.053762484,0.034265796,0.005,0,0,0,0,0,0.02,0.017031156,"100728A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567,0.409425868671443
"100814A",20.89608288,1.47,0.397940009,1.1425,0,-5.045757491,0,0,1.89414,5.22729477,-11.49349497,2.241795431,1.76532941,0,436.646279727829,2.1609,0.15835625076292,1.30530625,0,25.4596686579826,0,0,3.5877663396,27.3246106124694,132.100426625415,5.02564675445248,3.11638792581095,0,0.0235643330529017,0.04362636,0.035347138,0.084015169,0.01745135,0,0,0.007333,0,0.009650988,0.04,0.034743559,"100814A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"100816A",21.34783526,0.73,1.037426498,1.09,0,-5.698970004,0,0,1.91138,3.97801299,-11.5559552,0.462397998,1.04455013,0,455.730070288099,0.5329,1.07625373875254,1.1881,0,32.4782591064918,0,0,3.6533735044,15.8245873486087,133.540100584407,0.213811908554408,1.09108497408302,0,0.0930248425840856,0.08674922,0.112014005,0.047175154,0.015,0,0,0,0,0.021714724,0.24,0.015937412,"100816A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804,0.256236533205923
"100901A",21.53188109,1.52,-0.096910013,1.075,0,-5.677780705,0,0,1.98285,4.91124,-11.34103516,2.64246452,1.50754,0,463.6219032739,2.3104,0.00939155061966017,1.155625,0,32.2371937340703,0,0,3.9316941225,24.1202783376,128.619078500356,6.98261873945883,2.2726768516,0,0.0223211438768381,0.0283,0.02425,0.036255,5e-04,0,0,0,0.1,0.062042069,0.21,0.10857362,"100901A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.408,0.381656482585787
"100906A",21.96198081,1.78,1.004321374,0.87,0,-4.920818754,0,0,2.02817,3.94074768,-10.4698003,2.058426024,1.71220056,0,482.328601098808,3.1684,1.00866142227325,0.7569,0,24.2144572097181,0,0,4.1134735489,15.5294922774254,109.61671832188,4.23711769628045,2.93163075766431,0,0.00604043448603348,0.048743085,0.039933316,0.059340084,0,0.006123,0,0,0,0,0.03,0.017199781,"100906A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.727,0.43568513794163
"101219B",20.49692965,1.56,-0.22184875,0.94,0,-5.677780705,0,0,1.85684,4.42003952,-11.99567863,1.531478917,0.66918137,0,420.124125077049,2.4336,0.0492168678765625,0.8836,0,32.2371937340703,0,0,3.4478547856,19.5367493583618,143.896305794239,2.34542767321549,0.447803705955077,0,0.0692396240032236,0.089446275,0.166829365,0.039390628,0.105,0,0,0.04,0,0.082722758,0.16,0.217147241,"101219B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.190331698170291
"101225A",21.11770968,1.82,-0.338610804708651,0,0.7,-5.721246399,0.7,5.38,1.81612,0,0,3.036628895,0,-14.1,445.957662128766,3.3124,0.11465727706544,0,0.49,32.7326603580705,0.49,28.9444,3.2982918544,0,0,9.22111504594892,0,198.81,0.0093822306004846,0,0,0,0,0.06,0.17,0.08,0.0303,0.091430417,0.32,0.109322034911467,"101225A",1,5.27942742,0.455,-0.0846527011771628,0,0.175,-1.43031159975,0.175,1.345,0.45403,0,0,0.75915722375,0,-3.525,0.33,0.123851640967086
"110205A",21.37042981,1.8,0.556302501,0,0.74,-4.769551079,1.95,4.79,1.93577,0,0,2.409933123,0,-13.04,456.695270264137,3.24,0.309472472618855,0,0.5476,22.7486174951901,3.8025,22.9441,3.7472054929,0,0,5.80777765733253,0,170.0416,0.0563106258915239,0,0,0,0,0.06,0.03,0.11,0.04,0,0.04,0.024127471,"110205A",1,5.3426074525,0.45,0.13907562525,0,0.185,-1.19238776975,0.4875,1.1975,0.4839425,0,0,0.60248328075,0,-3.26,2.21,0.506505032404872
"110213A",21.56708403,1.83,0.204119983,1.1905,0,-5.229147988,0,0,1.96436,3.84089,-9.896196279,1.681241237,1.8412,0,465.139113557081,3.3489,0.0416649674599203,1.41729025,0,27.3439886804045,0,0,3.8587102096,14.7524359921,97.9347007924934,2.82657209698929,3.39001744,0,0.14476482742628,0.03588,0.023515,0.02785,0.226362665,0,0,0,0,0.029443694,0.12,0.162860431,"110213A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.390935107103379
"110422A",22.02088312,0.86,1.487138375,0.778,0,-4.387216143,0,0,1.89199,3.50066971,-9.681936665,1.413299764,1.42239886,0,484.919293384701,0.7396,2.21158054639764,0.605284,0,19.2476654853998,0,0,3.5796261601,12.2546884185115,93.7398975850713,1.99741622292246,2.0232185169293,0,0.00950159657676303,0.024137407,0.029472713,0.022779716,0.005,0,0,0,0,0.010592548,0.1,0.0141464,"110422A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0.442479769064449
"110503A",21.13638759,0.88,0.130333768,0.687,0,-5,0,0,1.90907,2.54166555,-9.08249449,1,1.14649063,0,446.746880354706,0.7744,0.0169868910810778,0.471969,0,25,0,0,3.6445482649,6.4600637680568,82.4917061608804,1,1.3144407646778,0,0.147896600362852,0.028998071,0.028887961,0.006289914,0.001,0.08,0,0.027144,0.19,0.017371779,0.25,0.019301977,"110503A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613,0.417139409727326
"110715A",22.0746007,1.25,1.731588765,0.755,0,-4.928117993,0,0,1.85342,2.61109719,-9.075720714,1.113943352,0.95853538,0,487.287996064441,1.5625,2.99839965107422,0.570025,0,24.2863469529303,0,0,3.4351656964,6.8178285356259,82.3687064785287,1.240869791465,0.918790074711744,0,0.133629071449258,0.02377653,0.035600881,0.009554076,0.0015,0,0,0,0,0.007360923,0.12,0.008863153,"110715A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"110731A",21.95954126,1.15,1.041392685,0.39,0,-5.22184875,0,0,1.85145,5.08952072,-12.08512818,1.588831726,1.42351927,0,482.221452349642,1.3225,1.08449872437151,0.1521,0,27.2677043678766,0,0,3.4278671025,25.9032211593093,146.05032312703,2.52438625354414,2.02640711206133,0,0.130539784388153,0.097418495,0.090702815,0.110855301,0.13,0,0,0,0,0.007238241,0.05,0.011844395,"110731A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0.583198773968623
"110801A",21.39050236,1.84,0.041392685,0,1,-5.327902142,1.59481,4.036448,2.04784,0,0,2.58546073,0,-11.822,457.553591213166,3.3856,0.00171335437150922,0,1,28.3865412347282,2.5434189361,16.292912456704,4.1936486656,0,0,6.68460718637213,0,139.759684,0.0233394026693868,0,0,0,0,0.034931,0.030996,0.044803,0.06,0.027720924,0.1,0.078962633,"110801A",1,5.34762559,0.46,0.01034817125,0,0.25,-1.3319755355,0.3987025,1.009112,0.51196,0,0,0.6463651825,0,-2.9555,1.858,0.456062224454951
"110808A",21.19799139,2.32,-0.397940009,1.4,0,-6.48148606,0,0,2.33721,4.50711,-12.08440021,1.681241237,0.807091,0,449.354838970514,5.3824,0.15835625076292,1.96,0,42.0096615459743,0,0,5.4625505841,20.3140405521,146.032728435448,2.82657209698929,0.651395882281,0,0.204728382319217,0.0837,0.155655,0.0776,0.025,0,0,0,0,0.105283511,0.43,0.217147241,"110808A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.348,0.370698092575577
"110818A",22.06812647,1.58,0.204119983,0.83,0,-5.397940009,0,0,1.95985,3.84627415,-11.28316228,2.012837225,1.37167718,0,487.002205895915,2.4964,0.0416649674599203,0.6889,0,29.1377563407629,0,0,3.8410120225,14.7938248369582,127.309751036815,4.0515136943457,1.88149828613275,0,0.0761271870594219,0.05514905,0.059648416,0.067338189,0.01,0,0,0,0,0.021714724,0.11,0.081430215,"110818A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0.639486489268586
"111008A",22.17059025,1.86,0.806179974,0.829,0,-5.27572413,0,0,1.94053,3.98993393,-10.66756154,1.802500068,1.21584288,0,491.535072033395,3.4596,0.649926150478641,0.687241,0,27.8332650958643,0,0,3.7656566809,15.9195727657652,113.796869209687,3.24900649514,1.47827390884669,0,0.0161841207996628,0.028511085,0.035676696,0.027351291,0.001,0,0,0,0,0.024582707,0.09,0.047500959,"111008A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9898,0.777412321496744
