"","log10NH","PhotonIndex","log10PeakFlux","Beta","Beta_opt","log10Fluence","Alpha_opt","log10Ta_opt","Gamma","log10Ta","log10Fa","log10T90","Alpha","log10Fa_opt","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","BetaSqr","Beta_optSqr","log10FluenceSqr","Alpha_optSqr","log10Ta_optSqr","GammaSqr","log10TaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","log10Fa_optSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","Beta_opt","Beta_opt_opt","log10Fluence_opt","Alpha_opt_opt","log10Ta_opt_opt","Gamma_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","log10Fa_opt_opt","Redshift_crosscheck","log10z"
"060206A",22.33966406,1.2,0.445604203,1.265,0,-6.080398976,0,0,2.20424,3.93814,-10.63078414,0.880241776,1.17565,0,499.060590313656,1.44,0.198563105731265,1.600225,0,36.9712517073418,0,0,4.8586739776,15.5089466596,113.013571431276,0.774825584215634,1.3821529225,0,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0,0,0,0,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",22.3877421,1.53,0.434568904,0.979,0,-5.11577123,0,0,2.08163,4.15028,-10.66756154,2.40654018,1.20511,0,501.210996336112,2.3409,0.188850132323761,0.958441,0,26.1711152776957,0,0,4.3331834569,17.2248240784,113.796869209687,5.79143563795443,1.4522901121,0,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.006123,0,0,0,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",22.49782636,1.74,0.130333768,0.81,0,-6.171984936,0,0,2.01015,2.78682,-10.9636,1.053078443,1.1892,0,506.152190924711,3.0276,0.0169868910810778,0.6561,0,38.0933980502109,0,0,4.0407030225,7.7663657124,120.20052496,1.1089742071113,1.41419664,0,0.042104904450281,0.1982,0.23477,0.18005,0.045,0,0,0,0,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",21.61973178,1.8,0.775974331,0.76,0,-5.671620397,0,0,2.28823,3.61496,-10.70553377,2.13255996245349,1.03794,0,467.412802239142,3.24,0.602136162370898,0.5776,0,32.1672779276664,0,0,5.2359965329,13.0679358016,114.60845330061,4.54781199345963,1.0773194436,0,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0,0,0,0,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,1.7,0.814247596,0.98,0,-5.079354999,0,0,1.94118,3.11887,-9.792961075,2.158362492,1.47655,0,468.879825996343,2.89,0.662999147591779,0.9604,0,25.7998472058663,0,0,3.7681797924,9.7273500769,95.9020866164651,4.65852864687245,2.1801999025,0,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.006123,0,0,0,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",21.45692297,1.46,0.227886705,0.87,0,-5.63638802,0,0,2.02719,3.3865,-10.55284197,1.45331834,0.897152,0,460.399543340514,2.1316,0.051932350315757,0.7569,0,31.7688699119995,0,0,4.1094992961,11.46838225,111.362473643793,2.11213419738036,0.804881711104,0,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0,0,0,0,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",22.00215742,1.78,-0.244125144,1.38,0,-5.390405591,0,0,2.1317,4.43617,-12.2656,2.43964843,1.00735,0,484.094931134461,3.1684,0.0595970859330207,1.9044,0,29.0564724354841,0,0,4.54414489,19.6796042689,150.44494336,5.95188446200147,1.0147540225,0,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0,0,0,0,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",21.0511868725117,2.48,-0.055517328,0,0.68,-6.634512015,0.74,3.64,2.70163,0,0,0.92890769,0,-12.44,443.152468741409,6.1504,0.00308217370825958,0,0.4624,44.0167496771794,0.5476,13.2496,7.2988046569,0,0,0.862869496541136,0,154.7536,0.0202577864729536,0,0,0,0,0.03,0.05,0.02,0.05,0.074878359,0.3,0.098703291,"060512A",1,5.26279671812792,0.62,-0.013879332,0,0.17,-1.65862800375,0.185,0.91,0.6754075,0,0,0.2322269225,0,-3.11,0.44,0.15836249209525
"060526A",21.53322281,2.01,0.222716471,0.93,0,-5.899629455,0,0,1.90677,3.8752,-11.3053948,2.47444938,1.05873,0,463.679684585104,4.0401,0.0496026264546938,0.8649,0,34.8056277063036,0,0,3.6357718329,15.01717504,127.811951583867,6.12289973418238,1.1209092129,0,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0,0.017308,0,0,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",21.99003057,2.01,-0.468521083,1.02,0,-6.395773947,0,0,2.1711,4.45991,-11.76955108,1.977723605,1.21596,0,483.561444469534,4.0401,0.219512005215493,1.0404,0,40.905924381124,0,0,4.71367521,19.8907972081,138.522332624729,3.9113906577742,1.4785587216,0,0.0777158547080599,0.04195,0.04994,0.04695,0,0,0,0,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
