"","PhotonIndex","log10Ta","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","PhotonIndexSqr","log10TaSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060729A",1.75,5.1057,0.068185862,-11.15058059,20.86562801,1.35481,2.062017599,1.92492,1.317,-5.583359493,3.0625,26.06817249,0.00464931177668304,124.335447494085,435.374432251696,1.8355101361,4.25191657858572,3.7053170064,1.734489,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",1.53,4.22387,0.861534411,-10.91009489,22.00679538,1.29504,2.162265614,2.11591,0.97,-4.835647144,2.3409,17.8410777769,0.742241541337117,119.030170508804,484.299042897189,1.6771286016,4.6753925854868,4.4770751281,0.9409,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060904B",1.64,3.77773801015901,0.387389826,-10.5689234966,21.59122827,1.31133487476349,2.234264124,2.18877,0.934595213688199,-5.790484985,2.6896,14.2713044734002,0.15007087728831,111.702143876984,466.181138207247,1.71959915377098,4.99193617579349,4.7907141129,0.87346821344889,33.5297163615105,0.378773543191014,0.776287613652308,0.601423479138184,0.272407123592475,0.198820484142843,0.038335871,0.14,0.037377804,"060904B",0.7,0.230448921378274
"060906A",2.03,4.33479,0.294466226,-11.8827287,22.41960057,1.71887,1.638489257,2.07859,1.06,-5.655607726,4.1209,18.7904043441,0.0867103582546831,141.199241357804,502.638489718344,2.9545140769,2.68464704530441,4.3205363881,1.1236,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",1,2.81918,0.481442629,-9.627087997,21.80952201,1.38309,1.285557309,2.13395,1.185,-5.552841969,1,7.9477758724,0.231787005018432,92.6808233019815,475.655250304674,1.9129379481,1.65265759472332,4.5537426025,1.404225,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060912A",1.74,2.455171016,0.933487288,-10.1079054,21.36738202,1.045731532,0.698970004,1.8948,0.63,-5.869666232,3.0276,6.02786471780647,0.871398516857595,102.169751575349,456.565014388619,1.09355443701907,0.48855906649176,3.59026704,0.3969,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0.937,0.287129620719111
"060926A",2.54,3.351,0.037426498,-10.84771166,22.50004427,1.45111,0.903089987,2.00443,1.357,-6.659555885,6.4516,11.229201,0.001400742752544,117.6728482585,506.25199215196,2.1057202321,0.81557152461966,4.0177396249,1.841449,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
"060927A",0.9,3.15198,0.431363764,-10.77728353,22.10710478,1.39098,1.352953912,1.94856,0.83,-5.946921557,0.81,9.9349779204,0.186074696892248,116.149840286009,488.724081753899,1.9348253604,1.8304842879961,3.7968860736,0.6889,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",5.47,0.8109042806687
"061007A",1.03,3.15318403023796,1.164352856,-9.09744770575628,21.74186197,1.57372701998697,1.876852648,1.99824,0.933824434471432,-4.35261703,1.0609,9.94256952854771,1.35571757327536,82.7635547589702,472.708561922532,2.47661673343707,3.52257586230461,3.9929630976,0.87202807441589,18.945275009846,0.740704337003766,0.896798081214421,0.611250624841426,0.275648265359928,0.203014823354481,0.005497151,0.03,0.011006093,"061007A",1.26,0.354108439147401
"061021A",1.3,3.23849,0.78604121,-10.04095861,20.87141063,1.01707,1.664641976,1.99282,0.785,-5.528708289,1.69,10.4878174801,0.617860783818264,100.820849807733,435.615781686077,1.0344313849,2.77103290826118,3.9713315524,0.616225,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0.3463,0.129141845792285
"061121A",1.41,3.78753,1.324282455,-10.03011836,21.75351565,1.35185,1.90982337,1.90181,0.9485,-4.863279433,1.9881,14.3453835009,1.75372402062083,100.603274315609,473.215443134795,1.8274984225,3.64742530459816,3.6168812761,0.89965225,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",1.314,0.364363354615731
"061126A",1.32,3.65779257147744,0.989449818,-10.60734793952,21.38058204,1.17632044730178,2.281033367,1.9269241917552,0.901913668022892,-5.169411331,1.7424,13.3794464959555,0.979010942340233,112.515830310039,457.129288369171,1.38372979474026,5.20311322136736,3.71303684077143,0.813448264566507,26.7228135090712,0.0233394026693868,0.803363476795956,0.605332254855641,0.276786727024597,0.198582026242526,0.0190994093843814,0.06,0.0246693811930976,"061126A",1.1588,0.334212409393176
"061222A",1.35,3.92091,0.930949031,-9.954677021,22.56660835,1.35061,1.853698212,1.92748,0.86,-5.097453221,1.8225,15.3735352281,0.866666098319839,99.0955945924254,509.25181242229,1.8241473721,3.436197061172,3.7151791504,0.7396,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,"061222A",2.088,0.489677291663699
"070110A",1.58,4.26825,-0.22184875,-11.04866248,21.3989672,1.42725,1.946550511,2.08596,1.186,-5.790484985,2.4964,18.2179580625,0.0492168678765625,122.07294259696,457.915797226676,2.0370425625,3.78905889187436,4.3512291216,1.406596,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",2.352,0.525304009958239
"070125A",1.66719216524827,4.25203982319811,0.461366700396796,-10.8270427578027,21.1168251059769,1.59885045178941,1.77815125,1.95142632719767,0.891324429282001,-5.49527903539734,2.77952971586521,18.0798426580626,0.212859232235027,117.224854879288,445.920302556416,2.5563227671872,3.16182186787656,3.80806471048019,0.794459238234885,30.1980916768775,0.0991498519285518,0.778363243462812,0.613237105441649,0.27446215653073,0.195705122426131,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1.55,0.406540180433955
"070208A",1.94,3.44468,-0.045757491,-10.86327943,21.8647258,1.2125,1.806179974,2.20341,1.14,-6.351639989,3.7636,11.8658203024,0.00209374798261508,118.010839974261,478.066234309186,1.47015625,3.26228609847864,4.8550156281,1.2996,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",1.85,4.22335,-0.161150909,-11.86327943,21.70173804,0.991734,1.9408513687054,2.25837,1.03,-5.769551079,3.4225,17.8366852225,0.0259696154715263,140.737398834261,470.965433956783,0.983536326756,3.76690403540562,5.1002350569,1.0609,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
