"","log10NH","PhotonIndex","log10PeakFlux","log10Fa","log10Ta","Beta","log10T90","Alpha","Gamma","log10Fluence","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10TaSqr","BetaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10Ta_opt","Beta_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"070223A",21.70173804,1.85,-0.161150909,-11.86327943,4.22335,1.03,1.9408513687054,0.991734,2.25837,-5.769551079,470.965433956783,3.4225,0.0259696154715263,140.737398834261,17.8366852225,1.0609,3.76690403540562,0.983536326756,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",22.44245468,1.66,0.609594409,-11.2737,4.86926,0.831,2.321184027,1.89982,1.94468,-5.269217724,503.663772063854,2.7556,0.371605343484059,127.09631169,23.7096929476,0.690561,5.38789528719994,3.6093160324,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070508A",21.89306622,1.1,1.382017043,-9.161150909,3.02525,0.764,1.320146286,1.37377,1.82568,-4.707743929,479.306348513305,1.21,1.90997110714246,83.9266859774715,9.1521375625,0.583696,1.74278621643959,1.8872440129,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",22.27524914,1.1,0.814913181,-10.01233374,3.55243,0.98,1.57863921,1.44502,2.00022,-5.096367484,496.186724249071,1.21,0.664083492567539,100.246826921142,12.6197589049,0.9604,2.49210175534942,2.0880828004,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.00959676899999998,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",22.56252244,1.34,0.155336037,-10.24641694,3.09323,0.76,2.038222638,1.21432,1.97999,-5.590066877,509.067418855503,1.7956,0.0241292843908654,104.989060108319,9.5680718329,0.5776,4.15435152205568,1.4745730624,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070802A",21.91375294,1.79,-0.397940009,-11.6716204,3.92184,0.78,1.214843848,1.16348,1.99014,-6.552841969,480.212567915359,3.2041,0.15835625076292,136.226722761696,15.3808289856,0.6084,1.47584557502345,1.3536857104,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070809A",20.80619355,1.69,0.079181246,-11.9625735,4.18985,0.396,1.16168428403346,1.17521,1.37246,-7,432.897690040062,2.8561,0.00626966971811252,143.103164742902,17.5548430225,0.156816,1.34951037577033,1.3811185441,1.8836464516,49,0.00812673734142053,0.1917,0.206985,0.395643,0.0595,0.026318246,0.133333333,0.016256930519715,"070809A",0,0,0,0,0,0,0,0,0,0,0,0.2187,0.0858968111315881
"071003A",20.86974084,1.36,0.799340549,-11.67760082,4.78411,0.837,2.170643023,1.97901,1.91015,-5.080921908,435.546082728764,1.8496,0.638945313275621,136.366360911265,22.8877084921,0.700569,4.71169113329858,3.9164805801,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071020A",20.99642367,1.11,0.924279286,-9.169411331,2.311950854,0.844,0.62324929,1.119196934,1.59788,-5.638272164,440.849806930136,1.2321,0.85429219852867,84.0781041570712,5.34511675131133,0.712336,0.388439677485504,1.252601777075,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071117A",22.04291793,1.57,1.053078443,-11.23542972,3.901990464,0.94,0.819543936,1.104952391,2.0457,-5.619788758,485.890230868716,2.4649,1.1089742071113,126.234880993059,15.2255295811469,0.8836,0.671652263034372,1.22091978637662,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080411A",21.57289018,1.75,1.635483747,-10.11350927,4.20932562,0.91,1.748188027,1.28909841,1.97674,-4.578396073,465.38959071834,3.0625,2.67480708670116,102.283069754376,17.7184221751884,0.8281,3.05616137774615,1.66177471066453,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080516A",22.03528962,1.82,0.255272505,-11.12090412,3.77452827,1.48,0.763427994,0.94016916,2.3315,-6.585026652,485.55398863728,3.3124,0.065164051808975,123.674508446233,14.2470636610292,2.1904,0.582822302022864,0.883918049415106,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080607A",22.38386741,1.31,1.36361198,-10.0540393,3.46298403,1.06,1.899984563,1.7256074,2.03418,-4.619788758,501.03752022846,1.7161,1.85943763199952,101.083706245944,11.992258392035,1.1236,3.6099413396383,2.97772089893476,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080810A",21.45079548,1.34,0.301029996,-9.931814138,3.2687548,1.079,2.03666881,1.44529526,2.11482,-5.337242168,460.136626724788,1.7956,0.09061905849176,98.6409320717767,10.684757942523,1.164241,4.14801984162682,2.08887838857847,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.0434294480000001,"080810A",0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080928A",21.51035195,1.77,0.322219295,-11.1260984,4.08450503,0.99,2.368584372,1.76031774,2.13864,-5.602059991,462.695241012869,3.1329,0.103825274070297,123.790065606483,16.6831813400953,0.9801,5.61019192728263,3.09871854575871,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.0206806899999999,"080928A",0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
"081007A",21.69605744,2.51,0.414973348,-10.58502665,3.58176278,0.92,0.958563883,1.00469263,2.102,-6.148741651,470.718908439779,6.3001,0.172202879550329,112.04278918121,12.8290246121933,0.8464,0.918844717792038,1.00940728077632,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
"081008A",21.1376737,1.69,0.113943352,-10.79317412,3.85550833,0.84,2.268297087,1.47398467,1.98207,-5.366531544,446.801249447672,2.8561,0.0129830874649959,116.492607584638,14.8649444826994,0.7056,5.14517167489269,2.17263080739501,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.0334072679999999,"081008A",0,0,0,0,0,0,0,0,0,0,0,1.9685,0.472537053262077
