"row","GRB","y","z","pred","z_pred"
93,"080905B",0.528145078253106,2.374,0.571057463945215,2.72440982755372
95,"080928A",0.430075055551939,1.692,0.51422418826469,2.26756464433338
96,"081007A",0.184549481320697,0.5295,0.362175187632042,1.30237037047357
97,"081008A",0.472537053262077,1.9685,0.488591914232094,2.08029218660929
98,"081028A",0.60616631460762,3.038,0.404974939473953,1.54082608550664
100,"081203A",0.491361693834273,2.1,0.529150027925782,2.38181641576067
101,"081221A",0.513217600067939,2.26,0.362280985272047,1.30293131479558
102,"081228A",0.64738297011462,3.44,0.50411208436814,2.19236164560196
103,"081230A",0.491361693834273,2.1,0.402337852388138,1.52544463742973
105,"090205A",0.752025387323213,4.6497,0.552193966209276,2.56610368507479
106,"090313A",0.6414741105041,3.38,0.527105787153001,2.36593548167152
107,"090418A",0.416307587059883,1.608,0.553681693181628,2.57834074163995
108,"090423A",0.966610986681934,8.26,0.734180441179125,4.42226128353107
111,"090519A",0.685741738602264,3.85,0.812459806944183,5.49321535430602
112,"090529A",0.559308010907013,2.625,0.478390173656776,2.00877819928583
113,"090530A",0.355259905527378,1.266,0.444362529399753,1.78203461547222
115,"090726A",0.569373909615046,2.71,0.523444287121887,2.33767685485029
116,"090809A",0.572523097849638,2.737,0.587021028703737,2.86385685542753
117,"090812A",0.538070787043172,2.452,0.497172640584223,2.14175735591545
118,"090927A",0.374748346010104,1.37,0.352589649346805,1.25211026118783
119,"091018A",0.294686624279443,0.971,0.316007134731048,1.070175358026
120,"091020A",0.432969290874406,1.71,0.469524415246418,1.94797920198071
121,"091024A",0.320146286111054,1.09,0.608289021872471,3.05778490163871
123,"091109A",0.610234175334389,3.076,0.628777582967791,3.25380505459002
124,"091127A",0.173186268412274,0.49,0.104484163810477,0.271991367125594
125,"091208B",0.314499227973151,1.063,0.400377349126209,1.51406990400495
126,"100219A",0.753583058892907,4.67,0.674413855365816,3.72513102100258
127,"100316B",0.338456493604605,1.18,0.457407332170406,1.86686559125408
129,"100425A",0.440121603187804,1.755,0.403609139076029,1.53284806511802
131,"100513A",0.761326322421457,4.772,0.666036306853832,3.63485665342394
132,"100621A",0.188084373714938,0.542,0.322409254034358,1.10091873556393
133,"100704A",0.662757831681574,3.6,0.451764691235186,1.82985831089214
135,"100814A",0.387389826338729,1.44,0.329979933820431,1.13786330920014
137,"100901A",0.381656482585787,1.408,0.513525620517936,2.26231295327294
138,"100906A",0.43568513794163,1.727,0.429221241739364,1.6867127836287
139,"101219B",0.190331698170291,0.55,0.383924883090188,1.42061033431526
140,"110205A",0.506505032404872,2.21,0.377318885200369,1.38406935434472
141,"110213A",0.390935107103379,1.46,0.454642196553752,1.84867035819071
142,"110422A",0.442479769064449,1.77,0.4892234258522,2.08477452606328
