"row","GRB","y","z","pred","z_pred"
51,"060906A",0.670802284260944,3.686,0.595945200464094,2.94407532358458
52,"060908A",0.459935016851525,1.8836,0.561917561046523,2.64684714915724
53,"060912A",0.287129620719111,0.937,0.396658750797058,1.49263535573982
54,"060926A",0.6232492903979,3.2,0.518918090667805,2.3030723815723
55,"060927A",0.8109042806687,5.47,0.657374980139617,3.54333729846747
56,"061007A",0.354108439147401,1.26,0.391487624216935,1.46313164711248
57,"061021A",0.129141845792285,0.3463,0.371758124531644,1.35373803063916
59,"061126A",0.334212409393176,1.1588,0.419414375589618,1.6267235971799
60,"061222A",0.489677291663699,2.088,0.521494529325956,2.32272599648949
61,"070110A",0.525304009958239,2.352,0.50869019672048,2.22619190179403
62,"070125A",0.406540180433955,1.55,0.334901144088429,1.16222629278891
63,"070208A",0.335457900689384,1.165,0.600356871735742,2.98434440623946
64,"070223A",0.419873175149476,1.6295,0.543680013234824,2.49687423528653
65,"070306A",0.397227181043161,1.4959,0.565824535213028,2.67980271258009
66,"070411A",0.59659709562646,2.95,0.619826063258099,3.16702458981861
67,"070508A",0.260071387985075,0.82,0.439094704562191,1.74849343884071
69,"070529A",0.544018407858776,2.4996,0.664422391241515,3.61766466498497
70,"070612A",0.222976449893391,0.671,0.455415648991571,1.8537481896453
71,"070721B",0.665205628434601,3.626,0.584899229565514,2.84502554604819
72,"070802A",0.537819095073274,2.45,0.614010740549675,3.11159889386169
73,"070810A",0.501059262217751,2.17,0.529424169258532,2.38395180630001
75,"071010A",0.298853076409707,0.99,0.468482523066705,1.94091534267998
76,"071010B",0.289365951520032,0.947,0.345129986583185,1.21375719942948
77,"071020A",0.497620649781288,2.145,0.325169262190807,1.1143129128555
79,"071112C",0.260071387985075,0.82,0.349125351589913,1.23421699786413
80,"071117A",0.367542273520577,1.331,0.47065409144965,1.95565739534264
81,"080310A",0.534026106056135,2.42,0.438315352841619,1.74356562521336
82,"080319B",0.287129620719111,0.937,0.201201349983858,0.589283410087107
83,"080319C",0.469822015978163,1.95,0.534614754717887,2.42463865756648
84,"080330A",0.399673721481038,1.51,0.385682410094133,1.43042604249138
85,"080411A",0.307496037913213,1.03,0.249458088847923,0.776061862954549
86,"080413B",0.322219294733919,1.1,0.351031796239774,1.24404621235306
87,"080516A",0.6232492903979,3.2,0.528384822401152,2.37586306779956
88,"080603A",0.429752280002408,1.69,0.381104149070716,1.40493946443638
90,"080607A",0.605951157564873,3.036,0.537158416215868,2.44475561103064
91,"080710A",0.265996370495079,0.845,0.493197945013513,2.11313493473865
93,"080905B",0.528145078253106,2.374,0.550568640677822,2.55278266130889
95,"080928A",0.430075055551939,1.692,0.523749058924592,2.34001993505262
96,"081007A",0.184549481320697,0.5295,0.356737302434798,1.27372167800778
97,"081008A",0.472537053262077,1.9685,0.493960944577641,2.11860911985097
98,"081028A",0.60616631460762,3.038,0.430196629713013,1.69275369010598
100,"081203A",0.491361693834273,2.1,0.535031682563565,2.42792792985093
101,"081221A",0.513217600067939,2.26,0.382358188896204,1.411893843153
102,"081228A",0.64738297011462,3.44,0.498862596624081,2.15400659154538
103,"081230A",0.491361693834273,2.1,0.418021330519653,1.61831160431666
105,"090205A",0.752025387323213,4.6497,0.542517179277682,2.48752379372598
106,"090313A",0.6414741105041,3.38,0.506050979594723,2.20664571405553
107,"090418A",0.416307587059883,1.608,0.549239089697738,2.54192278902084
108,"090423A",0.966610986681934,8.26,0.74466881274809,4.55480493604324
111,"090519A",0.685741738602264,3.85,0.798423307313843,5.28670826431126
112,"090529A",0.559308010907013,2.625,0.467679214134351,1.93548059713367
113,"090530A",0.355259905527378,1.266,0.454870285606804,1.85016685700454
115,"090726A",0.569373909615046,2.71,0.511031736372241,2.24363319559173
116,"090809A",0.572523097849638,2.737,0.575513513192471,2.76282060205602
117,"090812A",0.538070787043172,2.452,0.503915566152364,2.19091742900998
118,"090927A",0.374748346010104,1.37,0.352575800844283,1.25203844849234
119,"091018A",0.294686624279443,0.971,0.322973238554093,1.10364880786767
120,"091020A",0.432969290874406,1.71,0.464106438005092,1.91143057150448
121,"091024A",0.320146286111054,1.09,0.584989556978431,2.84582534283397
123,"091109A",0.610234175334389,3.076,0.628236129082584,3.24850495479215
124,"091127A",0.173186268412274,0.49,0.107647101319964,0.281289010682946
125,"091208B",0.314499227973151,1.063,0.398695837935906,1.50435469125828
126,"100219A",0.753583058892907,4.67,0.643871306580299,3.40424334303965
127,"100316B",0.338456493604605,1.18,0.472410014015079,1.96763178529991
