"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060210A",22.3877421,0.434568904,1.53,2.40654018,2.08163,-5.11577123,501.210996336112,0.188850132323761,2.3409,5.79143563795443,4.3331834569,26.1711152776957,0.207740121229715,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",22.49782636,0.130333768,1.74,1.053078443,2.01015,-6.171984936,506.152190924711,0.0169868910810778,3.0276,1.1089742071113,4.0407030225,38.0933980502109,0.042104904450281,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",21.61973178,0.775974331,1.8,2.13255996245349,2.28823,-5.671620397,467.412802239142,0.602136162370898,3.24,4.54781199345963,5.2359965329,32.1672779276664,0.0112622187283241,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,0.814247596,1.7,2.158362492,1.94118,-5.079354999,468.879825996343,0.662999147591779,2.89,4.65852864687245,3.7681797924,25.7998472058663,0.136485588124709,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",21.45692297,0.227886705,1.46,1.45331834,2.02719,-5.63638802,460.399543340514,0.051932350315757,2.1316,2.11213419738036,4.1094992961,31.7688699119995,0.150287880735964,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",22.00215742,-0.244125144,1.78,2.43964843,2.1317,-5.390405591,484.094931134461,0.0595970859330207,3.1684,5.95188446200147,4.54414489,29.0564724354841,0.0335971369822932,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",21.65076489,-0.055517328,2.48,0.92890769,2.70163,-6.634512015,468.755620322057,0.00308217370825958,6.1504,0.862869496541136,7.2988046569,44.0167496771794,0.153546286600926,0.074878359,0.3,0.098703291,"060512A",1,5.4126912225,-0.013879332,0.62,0.2322269225,0.6754075,-1.65862800375,0.44,0.15836249209525
"060526A",22.17059025,0.222716471,2.01,2.47444938,1.90677,-5.899629455,491.535072033395,0.0496026264546938,4.0401,6.12289973418238,3.6357718329,34.8056277063036,0.0335716198838349,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",21.99003057,-0.468521083,2.01,1.977723605,2.1711,-6.395773947,483.561444469534,0.219512005215493,4.0401,3.9113906577742,4.71367521,40.905924381124,0.0777158547080599,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",21.77333803,-0.337242168,1.55,2.059904056,2.02128,-6.156767222,474.078248968644,0.11373227987734,2.4025,4.24320471992525,4.0855728384,37.9057826258936,0.132471980179598,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",21.79614607,0.146128036,1.47,2.009450896,1.61002,-5.59345982,475.071983504776,0.0213534029052173,2.1609,4.0378929034352,2.5921644004,31.2867927579544,0.0173110727824034,0.019074895,0.08,0.040327345,"060607A",1,5.4490365175,0.036532009,0.3675,0.502362724,0.402505,-1.398364955,3.07,0.60959440922522
"060614A",20.51216256,1.06069784,2.02,2.036229544,1.89544,-4.690369833,420.748812887866,1.12507990778067,4.0804,4.14623075585845,3.5926927936,21.9995691703164,0.0132262962944593,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",21.20847898,0.004321374,0.6,1.820857989,2.09345,-5.795880017,449.799580645102,1.8674273247876e-05,0.36,3.31552381610512,4.3825329025,33.5922251714599,0.0414232996019404,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,0.28780173,1.68,1.008600172,2.20484,-6.306273051,432.251901250839,0.0828298357909929,2.8224,1.01727430695843,4.8613194256,39.7690797937688,0.153333382237578,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,0.10720997,1.93,2.060660074,2.04425,-5.548213564,484.554232973575,0.0114939776674009,3.7249,4.24631994057768,4.1789580625,30.7826737517536,0.0344798070207195,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,0.068185862,1.75,2.062017599,1.92492,-5.583359493,435.374432251696,0.00464931177668304,3.0625,4.25191657858572,3.7053170064,31.1739032280732,0.127647038192483,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,0.861534411,1.53,2.162265614,2.11591,-4.835647144,484.299042897189,0.742241541337117,2.3409,4.6753925854868,4.4770751281,23.3834833012754,0.0146412491965932,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",21.59122827,0.387389826,1.64,2.234264124,2.18877,-5.790484985,466.181138207247,0.15007087728831,2.6896,4.99193617579349,4.7907141129,33.5297163615105,0.0771432232434421,0.038335871,0.14,0.037377804,"060904B",1,5.3978070675,0.0968474565,0.41,0.558566031,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",22.41960057,0.294466226,2.03,1.638489257,2.07859,-5.655607726,502.638489718344,0.0867103582546831,4.1209,2.68464704530441,4.3205363881,31.9858987503909,0.0815374132437055,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,0.481442629,1,1.285557309,2.13395,-5.552841969,475.655250304674,0.231787005018432,1,1.65265759472332,4.5537426025,30.8340539326878,0.0299356101990356,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",21.36738202,0.933487288,1.74,0.698970004,1.8948,-5.869666232,456.565014388619,0.871398516857595,3.0276,0.48855906649176,3.59026704,34.4529816750811,0.0503781599397554,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0.937,0.287129620719111
