"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060206A",0.445604203,22.33966406,3.93814,1.2,-10.63078414,1.17565,0.880813592280791,1.265,2.20424,-6.080398976,0.198563105731265,499.060590313656,15.5089466596,1.44,113.013571431276,1.3821529225,0.775832584346592,1.600225,4.8586739776,36.9712517073418,0.110491399420861,0.07055,0.07444,0.02867,0.013041887,0.0133029706675924,0.181818182,0.0160378107849136,"060206A",4.048,0.703119346236078
"060210A",0.434568904,22.3877421,4.15028,1.53,-10.66756154,1.20511,2.40654018043396,0.979,2.08163,-5.11577123,0.188850132323761,501.210996336112,17.2248240784,2.3409,113.796869209687,1.4522901121,5.79143564004309,0.958441,4.3331834569,26.1711152776957,0.207740121022138,0.0292,0.030365,0.02297,0.083622271,0.0140538367709601,0.054545455,0.0270950212031269,"060210A",3.91,0.691081492122968
"060223A",0.130333768,22.49782636,2.78682,1.74,-10.9636,1.1892,1.05307844348342,0.81,2.01015,-6.171984936,0.0169868910810778,506.152190924711,7.7663657124,3.0276,120.20052496,1.41419664,1.10897420812946,0.6561,4.0407030225,38.0933980502109,0.0421049044034134,0.1982,0.23477,0.18005,0.045,0.018772691379267,0.072727273,0.0350945035988966,"060223A",4.41,0.73319726510657
"060306A",0.775974331,21.61973178,3.61496,1.8,-10.70553377,1.03794,1.78675142214556,0.76,2.28823,-5.671620397,0.602136162370898,467.412802239142,13.0679358016,3.24,114.60845330061,1.0773194436,3.19248064453919,0.5776,5.2359965329,32.1672779276664,0.0249708024012773,0.03495,0.04452,0.02498,0.01,0.014581519111212,0.060606061,0.0141083431596232,"060306A",1.559,0.408070285887185
"060418A",0.814247596,21.65363309,3.11887,1.7,-9.792961075,1.47655,2.01325866528352,0.98,1.94118,-5.079354999,0.662999147591779,468.879825996343,9.7273500769,2.89,95.9020866164651,2.1801999025,4.05321045333917,0.9604,3.7681797924,25.7998472058663,0.190629725370006,0.04904,0.057245,0.044705,0.005,0.0079942161609691,0.036363636,0.0141293054922338,"060418A",1.489,0.396024896608593
"060502A",0.227886705,21.45692297,3.3865,1.46,-10.55284197,0.897152,1.45331834004704,0.87,2.02719,-5.63638802,0.051932350315757,460.399543340514,11.46838225,2.1316,111.362473643793,0.804881711104,2.11213419751708,0.7569,4.1094992961,31.7688699119995,0.150287880719686,0.05675,0.075085,0.0205255,0.015,0.0116222057308489,0.048484848,0.0327064159666924,"060502A",1.5026,0.398391440229475
"060510B",-0.244125144,22.00215742,4.43617,1.78,-12.2656,1.00735,2.43964842956347,1.38,2.1317,-5.390405591,0.0595970859330207,484.094931134461,19.6796042689,3.1684,150.44494336,1.0147540225,5.95188445987152,1.9044,4.54414489,29.0564724354841,0.033597137016063,0.2206,0.31628,0.2313695,0.03,0.0113820011696242,0.048484848,0.0507946764616626,"060510B",4.9,0.770852011642144
"060512A",0.414973348,20.95374423,3.71745097322946,1.52,-10.673394446796,1.1028815516513,2.02160271602824,0.87861511216258,1.88453,-5.790484985,0.172202879550329,439.059397256258,13.8194417383647,2.3104,113.921349016896,1.21634771697278,4.08687754145277,0.771964515320464,3.5514533209,33.5297163615105,0.0563106258528354,0.81276938433332,0.595440363659588,0.297622814879508,0.20105904146086,0.0894135698123102,0.224242424,0.144764827428965,"060512A",0.44,0.15836249209525
"060526A",0.222716471,21.71466751,3.8752,2.01,-11.3053948,1.05873,2.47450763911698,0.93,1.90677,-5.899629455,0.0496026264546938,471.52678506985,15.01717504,4.0401,127.811951583867,1.1209092129,6.12318805604827,0.8649,3.6357718329,34.8056277063036,0.0335671166680867,0.06785,0.09216,0.0623145,0.0305,0.034467816033398,0.145454545,0.0283698082758142,"060526A",3.221,0.625415352154408
"060604A",-0.468521083,21.99003057,4.45991,2.01,-11.76955108,1.21596,1.97772360528885,1.02,2.1711,-6.395773947,0.219512005215493,483.561444469534,19.8907972081,4.0401,138.522332624729,1.4785587216,3.91139065891672,1.0404,4.71367521,40.905924381124,0.0777158546563713,0.04195,0.04994,0.04695,0,0.0694033093482565,0.254545455,0.100638650276148,"060604A",2.1357,0.496334505996816
