"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060906A",0.294466226,22.41960057,4.33479,2.03,-11.8827287,1.638489257,1.71887,1.06,2.07859,-5.655607726,0.0867103582546831,502.638489718344,18.7904043441,4.1209,141.199241357804,2.68464704530441,2.9545140769,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,5251.97897563666,0.11,0.0136079970173461,"060906A",3.686,0.670802284260944
"060908A",0.481442629,21.80952201,2.81918,1,-9.627087997,1.285557309,1.38309,1.185,2.13395,-5.552841969,0.231787005018432,475.655250304674,7.9477758724,1,92.6808233019815,1.65265759472332,1.9129379481,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,2670.39518600681,0.181818182,0.00513598058359029,"060908A",1.8836,0.459935016851525
"060926A",0.037426498,22.50004427,3.351,2.54,-10.84771166,0.903089987,1.45111,1.357,2.00443,-6.659555885,0.001400742752544,506.25199215196,11.229201,6.4516,117.6728482585,0.81557152461966,2.1057202321,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,98315.1405671832,0.23,0.0222250970063741,"060926A",3.2,0.6232492903979
"060927A",0.431363764,22.10710478,3.15198,0.9,-10.77728353,1.352953912,1.39098,0.83,1.94856,-5.946921557,0.186074696892248,488.724081753899,9.9349779204,0.81,116.149840286009,1.8304842879961,1.9348253604,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,10044.3224338419,0.242424242,0.0043983522714937,"060927A",5.47,0.8109042806687
"061021A",0.78604121,20.87141063,3.23849,1.3,-10.04095861,1.664641976,1.01707,0.785,1.99282,-5.528708289,0.617860783818264,435.615781686077,10.4878174801,1.69,100.820849807733,2.77103290826118,1.0344313849,0.616225,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,2174.23546173133,0.06,0.00136411178941135,"061021A",0.3463,0.129141845792285
"061121A",1.324282455,21.75351565,3.78753,1.41,-10.03011836,1.90982337,1.35185,0.9485,1.90181,-4.863279433,1.75372402062083,473.215443134795,14.3453835009,1.9881,100.603274315609,3.64742530459816,1.8274984225,0.89965225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,199.977234329801,0.03,0.000194877422777606,"061121A",1.314,0.364363354615731
"070110A",-0.22184875,21.3989672,4.26825,1.58,-11.04866248,1.946550511,1.42725,1.186,2.08596,-5.790484985,0.0492168678765625,457.915797226676,18.2179580625,2.4964,122.07294259696,3.78905889187436,2.0370425625,1.406596,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,7761.79809938012,0.12,0.0628705654505522,"070110A",2.352,0.525304009958239
"070208A",-0.045757491,21.8647258,3.44468,1.94,-10.86327943,1.806179974,1.2125,1.14,2.20341,-6.351639989,0.00209374798261508,478.066234309186,11.8658203024,3.7636,118.010839974261,3.26228609847864,1.47015625,1.2996,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,96198.8705900588,0.36,0.0512278682050789,"070208A",1.165,0.335457900689384
"070223A",-0.161150909,21.70173804,4.22335,1.85,-11.86327943,1.9408513687054,0.991734,1.03,2.25837,-5.769551079,0.0259696154715263,470.965433956783,17.8366852225,3.4225,140.737398834261,3.76690403540562,0.983536326756,1.0609,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,4744.66108770945,0.072727273,0.0823548608140042,"070223A",1.6295,0.419873175149476
"070306A",0.609594409,22.44245468,4.86926,1.66,-11.2737,2.321184027,1.89982,0.831,1.94468,-5.269217724,0.371605343484059,503.663772063854,23.7096929476,2.7556,127.09631169,5.38789528719994,3.6093160324,0.690561,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,1863.67467004326,0.1,0.002391107508181,"070306A",1.4959,0.397227181043161
"070508A",1.382017043,21.89306622,3.02525,1.1,-9.161150909,1.320146286,1.37377,0.764,1.82568,-4.707743929,1.90997110714246,479.306348513305,9.1521375625,1.21,83.9266859774715,1.74278621643959,1.8872440129,0.583696,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,134.035286797259,0.060606061,0.00019809083138423,"070508A",0.82,0.260071387985075
"070521A",0.814913181,22.27524914,3.55243,1.1,-10.01233374,1.57863921,1.44502,0.98,2.00022,-5.096367484,0.664083492567539,496.186724249071,12.6197589049,1.21,100.246826921142,2.49210175534942,2.0880828004,0.9604,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,520.327568240774,0.121212121,0.00119427963155013,"070521A",2.0865,0.489466281303128
"070529A",0.155336037,22.56252244,3.09323,1.34,-10.24641694,2.038222638,1.21432,0.76,1.97999,-5.590066877,0.0241292843908654,509.067418855503,9.5680718329,1.7956,104.989060108319,4.15435152205568,1.4745730624,0.5776,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,6996.30058980722,0.16,0.0332046609947927,"070529A",2.4996,0.544018407858776
"070802A",-0.397940009,21.91375294,3.92184,1.79,-11.6716204,1.214843848,1.16348,0.78,1.99014,-6.552841969,0.15835625076292,480.212567915359,15.3808289856,3.2041,136.226722761696,1.47584557502345,1.3536857104,0.6084,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,120288.072084526,0.27,0.117882311290408,"070802A",2.45,0.537819095073274
