"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"130514A",0.447158031,21.19799139,3.68772,1.8,-10.7212464,2.309630167,1.17745,0.65,2.0604,-5.040958608,0.199950304687797,449.354838970514,13.5992787984,3.24,114.945124369513,5.33439150831645,1.3863885025,0.4225,4.24524816,25.4112636875693,0.0272768817014167,0.078,0.078365,0.04188,0.08,455.528809823687,0.05,0.00721728438711364,"130514A",3.6,0.662757831681574
"130604A",-0.096910013,21.35024026,2.071571247,1.51,-8.316052869,1.57634135,1.742079764,0.98,2.08823,-5.853871964,0.00939155061966017,455.832759159725,4.29140743139714,2.2801,69.1567353200031,2.48485205171982,3.0348419041383,0.9604,4.3607045329,34.2678169709052,0.0525216608675702,0.166441725,0.100184013,0.041653571,0.015,9623.04562796554,0.12,0.0589411550567323,"130604A",1.06,0.313867220369153
"130606A",0.414973348,20.24962877,3.30222,1.52,-10.18045606,2.441820772,1.37571,0.44,1.86465,-5.537602002,0.172202879550329,410.047465322812,10.9046569284,2.3104,103.641685589591,5.96248868257068,1.8925780041,0.1936,3.4769196225,30.6650359325544,0.0303226795160044,0.06815,0.07782,0.05186,0.045,4485.41497302057,0.12,0.00558022774880315,"130606A",5.913,0.839666556882433
"130831A",1.133538908,21.65363309,3.31959,1.93,-9.89279003,1.511883361,1.28481,1.01,1.79449,-5.187086643,1.28491045594983,468.879825996343,11.0196777681,3.7249,97.8672945776674,2.28579129726866,1.6507367361,1.0201,3.2201943601,26.905867841989,0.0249128885159663,0.054815,0.089045,0.06727,0.009011148,89.2836626214968,0.05,0.000611845913924873,"130831A",0.4791,0.16999753706657
"131030A",1.44870632,20.84178667,2.84594,1.3,-9.294136288,1.613841822,1.11188,0.693,2.09466,-4.537602002,2.09875000160794,434.38007159779,8.0993744836,1.69,86.3809693399184,2.60448542643628,1.2362771344,0.480249,4.3876005156,20.5898319285544,0.0427179076225292,0.025175,0.027575,0.00815,0.0075,0,0.03,0.000167206837487806,"131030A",1.295,0.36078268987328
"131105A",0.544068044,21.32749584,3.9488,1.45,-10.91009489,2.050379756,1.19347,0.94,2.24976,-5.148741651,0.296010036501986,454.862078805217,15.59302144,2.1025,119.030170508804,4.20405714381462,1.4243706409,0.8836,5.0614200576,26.5095405887422,0.0158047698317659,0.03335,0.047885,0.04544,0.005,1870.77657361776,0.11,0.00923812399086001,"131105A",1.686,0.429106008332697
"131117A",-0.15490196,22.01669496,2.87134,2.42,-10.838632,1.041392685,0.951056,0.86,2.15896,-6.602059991,0.0239946172118416,484.734856961689,8.2445933956,5.8564,117.475943631424,1.08449872437151,0.904507515136,0.7396,4.6611082816,43.5871961247629,0.124850885316753,0.0823,0.12461,0.0362555,0.025,120711.485814706,1.41,0.0384921831620647,"131117A",4.042,0.702602841340427
"140206A",1.28780173,22.00531353,3.59073,1.04,-9.730487056,1.971275849,1.22509,0.672,1.88134,-4.795880017,1.65843329579099,484.233823553601,12.8933419329,1.0816,94.6823783469835,3.88592847285067,1.5008455081,0.451584,3.5394401956,23.0004651374599,0.063811704252879,0.012995,0.021325,0.015545,0.021902336,221.029344863436,0.15,0.000250573521618338,"140206A",2.73,0.571708831808688
"140213A",1.371067862,20.99187128,3.829176603,1.8,-10.12551818,1.77815125,1.108879519,0.83,1.96657,-4.920818754,1.87982708220925,440.658659836089,14.6625934569626,3.24,102.526118413511,3.16182186787656,1.22961378765767,0.6889,3.8673975649,24.2144572097181,0.0189868108841264,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.000273226541772542,"140213A",1.2076,0.343920385393226
"140419A",0.69019608,22.04094236,3.68383,1.21,-10.00568285,1.976349979,1.36898,0.678,1.87322,-4.795880017,0.476370628847366,485.803140116842,13.5706034689,1.4641,100.113689294784,3.9059592394933,1.8741062404,0.459684,3.5089531684,23.0004651374599,0.0175057628798656,0.023985,0.02442,0.017885,0.001,0,0.04,0.0015711094788856,"140419A",3.956,0.695131297704026
"140423A",0.322219295,21.81946365,3.90552,1.33,-10.85078089,2.127104798,1.18974,0.77,2.06486,-5.026872146,0.103825274070297,476.088993973671,15.2530864704,1.7689,117.739445922789,4.52457482167462,1.4154812676,0.5929,4.2636468196,25.2694435722306,0.0745819195938403,0.05035,0.05495,0.045115,0.149849463,640.374697625675,0.06,0.0085538184060017,"140423A",3.26,0.629409599102719
"140430A",0.397940009,21.67796993,4.14388,2,-11.36251027,2.239549721,0.875171,1.03,2.15785,-5.958607315,0.15835625076292,469.934380285984,17.1717414544,4,129.106639635855,5.01558295283118,0.765924279241,1.0609,4.6563166225,35.5050011343715,0.00923562857095551,0.0861,0.13071,0.0833725,0.035,31175.4870917686,0.22,0.00603557437759419,"140430A",1.6,0.414973347970818
"140506A",1.037426498,21.81764402,3.30686,1.68,-9.903089987,2.045714059,0.948932,0.9,1.74751,-5.552841969,1.07625373875254,476.009590583442,10.9353230596,2.8224,98.0711912906197,4.18494601119025,0.900471940624,0.81,3.0537912001,30.8340539326878,0.0373575732732516,0.05516,0.06882,0.01557,0.047966029,7217.28438711365,0.16,0.00142875621051035,"140506A",0.889,0.276231957921834
"140509A",0.204119983,20.90144742,3.58709,1.59,-11.09770006,1.17092730333444,1.40649,0.86,1.93407,-5.920818754,0.0416649674599203,436.870504251025,12.8672146681,2.5281,123.158946621724,1.37107074969407,1.9782141201,0.7396,3.7406267649,35.0560947177181,0.151511196244018,0.08395,0.088715,0.10418,0.22,15848.6216709369,0.121212121,0.0317728693503986,"140509A",2.4,0.531478917042255
"140512A",0.832508913,21.32824297,3.53686,1.45,-9.504455662,2.189770956,1.25134,0.871,1.84304,-4.853871964,0.693071090224441,454.893948187355,12.5093786596,2.1025,90.3346774309239,4.79509683974115,1.5658517956,0.758641,3.3967964416,23.5600730429052,0.0134302087658966,0.01504,0.022285,0.02006,0.002482817,288.691362634759,0.04,0.00122369182597888,"140512A",0.725,0.236789099409293
"140518A",0,22.46148952,3.77824,0.92,-11.31158018,1.781755375,1.64981,0.94,1.93772,-6,0,504.51851145707,14.2750974976,0.8464,127.951846168569,3.17465221634139,2.7218730361,0.8836,3.7547587984,36,0.0174377429302028,0.09045,0.070125,0.18819,0,18861.1696185042,0.61,0.0188611696185042,"140518A",4.707,0.756407872548958
"140614A",-1.4317581319867,22.340573,3.70006,1.5,-10.9589,2.857332496,1.35595,0.83,1.77015,-5.886056648,2.04993134851005,499.101201968329,13.6904440036,2.25,120.09748921,8.16434899269759,1.8386004025,0.6889,3.1334310225,34.645662863465,0.0965452754396361,0.1129,0.098945,0.093145,0.05,44641.8216908925,0.46,1.91684098967921,"140614A",4.233,0.718750734739665
"140629A",0.62324929,21.74269921,2.85608,1.86,-9.847711656,1.62324929,1.16056,0.815,1.95996,-5.619788758,0.388439677485504,472.744968936535,8.1571929664,3.4596,96.9774248597183,2.6349382574855,1.3468995136,0.664225,3.8414432016,31.5820256845432,0.119342969960682,0.042785,0.06161,0.03501,0.001678552,6549.0172846171,0.11,0.0042769092095397,"140629A",2.275,0.515211304327802
"141004A",0.785329835,21.49730845,3.30337,1.86,-10.61083392,0.593286067,1.54959,1.08,1.79496,-6.173925197,0.616742949741127,462.134270594441,10.9122533569,3.4596,112.589796477823,0.351988357296328,2.4012291681,1.1664,3.2218814016,38.1173523381515,0.118918281385487,0.0853,0.081935,0.09774,0.005,12604.9254384351,0.08,0.00152065329411617,"141004A",0.573,0.196728722623287
"141121A",-0.045757491,21.59590717,5.76634,1.73,-12.65757732,2.74028372,2.33322,0.82,1.93447,-5.27572413,0.00209374798261508,466.383206495257,33.2506769956,2.9929,160.214263611778,7.50915486609704,5.4439155684,0.6724,3.7421741809,27.8332650958643,0.0298708467389642,0.1675,0.090095,0.2969,0.01,2685.8198172034,0.13,0.069856184003753,"141121A",1.47,0.392696953259666
"141220A",0.949390007,21.48574413,2.77561,0.62,-9.872830386,0.857935265,1.42066,1.1,1.80565,-5.585026652,0.90134138539146,461.63720081983,7.7040108721,0.3844,97.4727798307249,0.73605291893062,2.0182748356,1.21,3.2603719225,31.1925227035503,0.0285379269708387,0.042455,0.057375,0.050735,0.07,2790.11387440157,0.38,0.00166681211917537,"141220A",1.3195,0.365394376854778
"150120B",0.079181246,21.52664292,3.39431,2.2,-10.79048499,2.01762288488796,1.17705,0.92,2.01678,-6.26760624,0.00626966971811252,463.396355405186,11.5213403761,4.84,116.434566319415,4.0708021056236,1.3854467025,0.8464,4.0674015684,39.2828879796869,0.0141299769251025,0.0711,0.090535,0.057705,0.005,31370.6007947825,0.151515152,0.0196194981643146,"150120B",3.5,0.653212513775344
"150314A",1.58546073,22.01715025,2.49217,1.08,-8.609064893,1.169968174,1.19079,0.73,1.84772,-4.657577319,2.51368572637213,484.754905131075,6.2109113089,1.1664,74.1159983318851,1.36882552817289,1.4179808241,0.5329,3.4140691984,21.6930264824632,0.07726686575266,0.015025,0.015855,0.009925,0,116.908067126866,0.03,0.000114522202626528,"150314A",1.758,0.440594261839831
"150403A",1.245512668,21.79039707,3.19694,1.23,-8.821023053,1.611723308,1.24471,0.679,1.70996,-4.769551079,1.55130180614848,474.821404468265,10.2204253636,1.5129,77.8104477015574,2.59765202155046,1.5493029841,0.461041,2.9239632016,22.7486174951901,0.127565659236116,0.005105,0.006975,0.00458,0,195.790682240898,0.04,0.000365337746778415,"150403A",2.06,0.48572142648158
"150821A",-1.49776679460977,22.340573,2.95174,2.1,-8.853871964,2.23578087,1.82628,0.848,2.21622,-6.102372909,2.24330537103562,499.101201968329,8.7127690276,4.41,78.3910487549052,4.99871609865796,3.3352986384,0.719104,4.9116310884,37.2389551204971,0.249936990327389,0.021105,0.015485,0.027365,5e-04,57420.6418754114,0.37,2.57412336828769,"150821A",0.755,0.244277120801843
"151021A",0.986771734,22.33647975,3.15765,1.57,-9.642065153,2.042181595,1.33346,1.27,1.96079,-4.552841969,0.973718455021367,498.91832762216,9.9707535225,2.4649,92.9694204146969,4.17050566695674,1.7781155716,1.6129,3.8446974241,20.7283699946878,0.0143797213110485,0.06282,0.05208,0.02141,0.04,240.576141066949,0.04,0.00160367052168909,"151021A",2.33,0.52244423350632
"151027A",0.832508913,21.65076489,3.99907,1.72,-9.935542011,2.11290649,1.74508,0.9235,2.00612,-5.107905397,0.693071090224441,468.755620322057,15.9925608649,2.9584,98.7149950523459,4.46437383548412,3.0453042064,0.85285225,4.0245174544,26.0906975447017,0.0183350782696789,0.02221,0.01731,0.02499,0.002440971,620.025305022345,0.05,0.00244738358809092,"151027A",0.81,0.257678574869184
"151215A",0.204119983,22.00679538,3.06337,1.99,-10.72815839,1.250420002,1.07478,1.015,2.20942,-6.508638306,0.0416649674599203,484.299042897189,9.3842357569,3.9601,115.093382440927,1.56355018140168,1.1551520484,1.030225,4.8815367364,42.3623725983306,0.0244827442519859,0.093,0.11588,0.071395,0.35435971,137386.251793984,0.33,0.0147352887527822,"151215A",2.59,0.555094448578319
"160117B",-0.705929807788426,20.95374423,4.10299,1.73,-11.74958,0.697062187810827,0.973333,0.64,1.83834,-6.4710833,0.498336893524204,439.059397256258,16.8345269401,2.9929,138.0526301764,0.485895693675617,0.947377128889,0.4096,3.3794939556,41.8749190755389,0.214744065864423,0.12265,0.162075,0.093958,0.015,7231.29715821325,0.0041822719666068,0.269622358612971,"160117B",0.87,0.271841606536499
"160121A",0.079181246,21.43355223,3.8244,1.77,-11.17263073,1.079181246,0.798663,1.02,2.2054,-6.214670165,0.00626966971811252,459.397161196138,14.62603536,3.1329,124.82767742894,1.16463216171811,0.637862587569,1.0404,4.86378916,38.6221252597411,0.0862757376305275,0.0694,0.120385,0.106048,0.03,25344.2213312835,0.13,0.0261960691587366,"160121A",1.96,0.471291711058939
"160203A",0.113943352,22.0158332,3.66139836,1.93,-11.36754271,1.305351369,1.146279559,0.61,1.75592,-5.920818754,0.0129830874649959,484.696911490222,13.4058379506107,3.7249,129.221027263674,1.70394219655017,1.31395682738123,0.3721,3.0832550464,35.0560947177181,0.0695758261024457,0.08458679,0.087010427,0.0601909,0.25,13098.0345793683,0.2,0.0446418216908924,"160203A",3.52,0.655138434811382
"160227A",-0.22184875,21.4198963,4.47751,0.75,-10.99567863,2.500373714,1.10229,0.679,1.72551,-5.508638306,0.0492168678765625,458.811957502754,20.0480958001,0.5625,120.904948534239,6.25186870966215,1.2150432441,0.461041,2.9773847601,30.3450959863305,0.103418641469029,0.03055,0.03885,0.03434,0.001,3925.32149984168,0.51,0.0523921383580096,"160227A",2.38,0.528916700277655
"160327A",0.255272505,20.72655851,3.76407,1.84,-11.22402567,1.447158031,1.49693,0.78,1.93554,-5.853871964,0.065164051808975,429.590227668453,14.1682229649,3.3856,125.978752240819,2.0942663666878,2.2407994249,0.6084,3.7463150916,34.2678169709052,0.143091047665439,0.0673,0.06033,0.1004,0.02,9623.04562796554,0.11,0.0116426972445258,"160327A",4.99,0.777426822389311
"160804A",0.462397998,21.30214687,4.38419,1.4,-11.5214335,2.15896526,0.948229,0.92,1.87827,-4.943095149,0.213811908554408,453.781461271051,19.2211219561,1.96,132.743429894922,4.66113099388687,0.899138236441,0.8464,3.5278981929,24.4341896520673,0.057915224642575,0.05875,0.095375,0.070062,0.005,435.391723439503,0.23,0.00672812230977415,"160804A",0.736,0.239549720840473
"161108A",-0.22184875,21.16074757,4.69106,1.85,-11.81247928,2.021602716,0.883711,0.84,2.00325,-5.958607315,0.0492168678765625,447.777237721261,22.0060439236,3.4225,139.534666740429,4.08687754133858,0.780945131521,0.7056,4.0130105625,35.5050011343715,0.0491496346156657,0.13355,0.18179,0.0812555,0.005,15587.7437432909,0.17,0.0523921383580096,"161108A",1.159,0.334252642334231
"161117A",0.832508913,21.87736847,4.08464,1.19,-10.74958,2.099335278,1.141,1.375,1.92624,-4.698970004,0.693071090224441,478.61925117215,16.6842839296,1.4161,115.5534701764,4.40720860945534,1.301881,1.890625,3.7104005376,22.0803190984918,0.00378540226960351,0.03835,0.04019,0.02365,0.674290141,0,0.12,0.00122369182597888,"161117A",1.549,0.406369835469268
"161129A",0.531478917,21.51361441,3.70506,1.57,-10.43651891,1.550595207,2.32574,0.71,1.74506,-5.443697499,0.282469839215493,462.83560498216,13.7274696036,2.4649,108.920926958788,2.40434549597137,5.4090665476,0.5041,3.0452344036,29.6338424606189,0.0255903856698547,0.10625,0.050725,0.10628,0.005,1455.33721475839,0.06,0.00326317811997931,"161129A",0.645,0.216165902285993
"161219B",0.72427587,21.16590877,4.0135,1.29,-10.13667714,0.84135947,0.871656,0.73,1.86204,-5.823908741,0.524575535864257,447.995694059963,16.10818225,1.6641,102.752223440599,0.707885757758681,0.759784182336,0.5329,3.4671929616,33.9179130234962,0.0495608716177928,0.0277,0.03841,0.008668,0,8382.74195723342,0.35,0.0026858198172034,"161219B",0.1475,0.0597526942092988
"170202A",0.672097858,21.7153121,3.77629,1.68,-10.65364703,1.664641976,1.1958,1.04,1.99768,-5.48148606,0.451715530728188,471.554779600406,14.2603661641,2.8224,113.500195039828,2.77103290826118,1.42993764,1.0816,3.9907253824,30.0466894259743,0.10761765896651,0.04485,0.068655,0.059155,0,1731.97152591433,0.07,0.00256149879248456,"170202A",3.645,0.666985718329661
"170405A",-0.0335186812736592,21.93100401,3.6300738,1.59,-10.31069114,2.216693599,1.81152426,0.612,1.8473,-5.431798276,0.00112350199432515,480.968936886636,13.1774357934464,2.5281,106.310351784474,4.91373051184757,3.28162014456855,0.374544,3.41251729,29.5044325111566,0.0933217274509788,0.048255345,0.035670699,0.072401387,0.0475,4133.20006947409,0.12,0.0722254901788599,"170405A",3.51,0.65417654187796
"170519A",-0.15490196,21.33992622,4.1513,1.94,-11.06348626,2.335257256,1.37345,0.975,1.97351,-5.958607315,0.0239946172118416,455.392451075043,17.23329169,3.7636,122.400728225209,5.45342645170065,1.8863649025,0.950625,3.8947417201,35.5050011343715,0.0991498519285518,0.053,0.052235,0.066745,0.224423613,31175.4870917686,0.26,0.0384921831620647,"170519A",0.818,0.259593878885949
"170531B",-0.096910013,21.34792103,3.80257,1.95,-11.39577395,2.215187969,1.02082,0.99,2.06685,-5.698970004,0.00939155061966017,455.733732303116,14.4595386049,3.8025,129.863663919499,4.90705773800235,1.0420734724,0.9801,4.2718689225,32.4782591064918,0.0233394026693868,0.08415,0.11435,0.107427,0.035,9430.58480195556,0.14,0.0589411550567323,"170531B",2.366,0.527114111639805
"170705A",1.1430148,21.08891889,3.63746,1.65,-10.18641901,2.337059726,0.774169,0.66,1.89159,-5.022276395,1.30648283301904,444.742499948999,13.2311152516,2.7225,103.763132247289,5.4618481628912,0.599337640561,0.4356,3.5781127281,25.2232601877742,0.0361306862803674,0.04055,0.06603,0.027333,0.005,626.964109113255,0.05,0.000390480199039689,"170705A",2.01,0.478566495593843
"170903A",0.591064607,21.73970839,4.41384,1.94,-11.26042766,1.465382851,0.971187,1.14,2.20256,-5.619788758,0.349357369648064,472.614920882236,19.4819835456,3.7636,126.797231086093,2.14734690000489,0.943204188969,1.2996,4.8512705536,31.5820256845432,0.0534696645518069,0.04095,0.065935,0.051271,0.005,6549.0172846171,0.12,0.00620025305502066,"170903A",0.886,0.27554168840131
"171205A",0,21.81946365,5.48376,1.41,-12.42945706,2.277379975,1.13263,0.67,1.66173,-5.443697499,0,476.088993973671,30.0716237376,1.9881,154.491402806384,5.186459550531,1.2828507169,0.4489,2.7613465929,29.6338424606189,0.0806407286915141,0.0719,0.109545,0.115455,0.01,4366.01152363783,0.14,0.0565835092898071,"171205A",0.0368,0.0156949885265181
"171222A",-0.15490196,20.02880298,4.78231,2.07,-12.10957898,2.242541428,0.718496,1.34,1.99001,-5.721246399,0.0239946172118416,401.152948811657,22.8704889361,4.2849,146.641903072858,5.02899205629628,0.516236502016,1.7956,3.9601398001,32.7326603580705,0.0563106258915239,0.20975,0.378455,0.126956,0.015,10449.4015818934,0.17,0.0769843663241295,"171222A",2.409,0.532627001228891
"180205A",0.531478917,21.4933967,3.21372,2.04,-10.30627305,1.190331698,1.09633,1.03,1.88733,-6,0.282469839215493,461.966101703571,10.3279962384,4.1616,106.219264181156,1.41688955126356,1.2019394689,1.0609,3.5620145289,36,0.0875106835560367,0.06455,0.088815,0.042095,0.005,18861.1696185042,0.13,0.00489476717996897,"180205A",1.409,0.381836799998343
"180329B",0.146128036,21.41988474,4.02296,0.97,-11.14935376,2.322219295,1.50063,0.77,1.86768,-5.48148606,0.0213534029052173,458.811462274885,16.1842071616,0.9409,124.308089265626,5.3927024540703,2.2518903969,0.5929,3.4882285824,30.0466894259743,0.091090048181127,0.04825,0.04314,0.069665,0,5195.914577743,0.56,0.0384921831322829,"180329B",1.998,0.476831628512261
"180620B",0.556302501,21.21643247,4.6659,1.3,-10.98296666,2.29841638,1.09835,0.9,1.99236,-5,0.309472472618855,450.13700675407,21.77062281,1.69,120.625556654672,5.2827178558523,1.2063727225,0.81,3.9694983696,25,0.0599542916300528,0.0437,0.067125,0.059445,0.005,565.835071183347,0.2,0.00291067430887943,"180620B",1.1175,0.325823419002744
"180624A",0.146128036,21.1034582,4.171185481,1.91,-11.54363397,2.686993566,1.243849338,0.95,2.06008,-5.236572006,0.0213534029052173,445.355947999147,17.3987883169052,3.6481,133.255485233338,7.2199344237254,1.54716117564304,0.9025,4.2439296064,27.4216863740229,0.0343795484387942,0.088149935,0.099379055,0.123366444,0,1682.03061358131,0.1,0.0192460915661414,"180624A",2.855,0.586024382386976
"180720B",1.831869774,21.24271531,3.62033,1.36,-8.847711656,3.06444019010425,1.34127,0.729,1.8461,-4.065501549,3.35574686889481,451.252953741708,13.1067893089,1.8496,78.2820015477183,9.39079367872618,1.7990052129,0.531441,3.40808521,16.5283028449214,0.00138098327707093,0.004975,0.00614,0.005375,0,25.5018527906347,0.03,0.000106365901495395,"180720B",0.654,0.218535505216528
"180728A",2.120573931,21.58733599,3.8695,1.97,-9.42365865,0.938519725,1.1986,0.8595,1.70111,-4.528708289,4.49683379683679,466.013075145149,14.97303025,3.8809,88.8053423517198,0.880819274214076,1.43664196,0.73874025,2.8937752321,20.5091987668573,0.0148761559757772,0.009885,0.014745,0.0091,0.042486494,129.162509504725,0.03,3.13919830261231e-05,"180728A",0.117,0.0480531731156091
"181010A",0.146128036,22.27837171,3.15711,1.52,-9.928117993,1.214843848,1.07011,1.115,1.76613,-6.161150909,0.0213534029052173,496.325846048928,9.9673435521,2.3104,98.5675268829304,1.47584557502345,1.1451354121,1.243225,3.1192151769,37.9597805234715,0.0580681587793652,0.034615,0.057805,0.033375,0.007041969,27731.188065756,0.15,0.0192460915661414,"181010A",1.39,0.378397900948138
"181020A",0.886490725,20.65703194,4.29043,1.25,-10.42365865,2.376576957,2.64643,1.228,1.93674,-5.091514981,0.785865805511026,426.71296857018,18.4077895849,1.5625,108.65265965172,5.64811803254338,7.0035917449,1.507984,3.7509618276,25.9235248017474,0.0211468897196027,0.1418,0.047555,0.091985,0.029531206,862.422035539104,0.06,0.000954351633611598,"181020A",2.938,0.595275711802099
"190114A",-0.301029996,21.6447605,3.74534,2.06,-10.75202673,1.823474229,1.18375,0.86,1.83214,-6.096910013,0.09061905849176,468.49565710236,14.0275717156,4.2436,115.606078802635,3.32505826382714,1.4012640625,0.7396,3.3567369796,37.1723117066197,0.0664080102705681,0.03365,0.042215,0.04616,0,35364.6930340393,0.22,0.150889357933368,"190114A",3.3765,0.641126932803509
"190719C",0.740362689,20.95382587,4.88123,1.64,-11.257,2.268811904,1.55953,0.915,1.5415,-5.292429824,0.548136911263311,439.062818590281,23.8264063129,2.6896,126.720049,5.14750745573211,2.4321338209,0.837225,2.37622225,28.0098134419647,0.0226602223323686,0.2175,0.1943,0.21085,0.22,2175.45208026513,0.09,0.00187052923484963,"190719C",2.469,0.54020429984206
"190829A",1.255272505,22.04910001,4.0838,2.56,-9.56068,1.764922985,1.03996,1.16,2.0913,-5.193820026,1.57570906180898,486.162811250982,16.67742244,6.5536,91.4066020624,3.11495314298131,1.0815168016,1.3456,4.37353569,26.9757664624786,0.0660733687520347,0.013585,0.01916,0.009675,0.075,3223.34443406988,0.21,0.00157176413524923,"190829A",0.0785,0.0328201494385639
"191011A",0.255272505,21.65033473,3.15321333,1.94,-10.8132081,0.867467488,1.30602449,0.94,1.81479,-6.48148606,0.065164051808975,468.736993921044,9.94275430448969,3.7636,116.925469413906,0.75249984273703,1.70569996847976,0.8836,3.2934627441,42.0096615459743,0.0559978453284278,0.05719327,0.06597695,0.05756962,0.19,69278.8597205294,0.17,0.0116426972445258,"191011A",1.722,0.434888120867316
"191221B",0.681241237,21.13638759,1.95518066,1.24,-8.11145684,1.681241237,1.15734724,1.39,1.843,-4.721246399,0.46408962298929,446.746880354706,3.82273141323804,1.5376,65.7957320671828,2.82657209698929,1.33945263393562,1.9321,3.396649,22.2901675600705,0.14476482742628,0.06184721,0.05366691,0.00551831,0.175,522.470067665867,0.05,0.00573039011018149,"191221B",1.148,0.332034277027518
"200205B",0.301029996,22.03528962,4.53640048,1.36,-11.7337376,2.660865478,1.56884903,0.516,1.90881,-5.26760624,0.09061905849176,485.55398863728,20.5789293149442,1.8496,137.680598065654,7.08020509201217,2.46128727893194,0.266256,3.6435556161,27.7476754996869,0.0051064352834946,0.10035241,0.08886983,0.19267266,0.18,1293.6330531428,0.22,0.00943058480195555,"200205B",1.465,0.391816923613249
"200829A",1.994317153,21.08966848,2.97975,0.83,-8.6381,1.115277591,1.29833,0.64,1.88219,-4.292429824,3.97730090675002,444.774116596306,8.8789100625,0.6889,74.61677161,1.24384410498676,1.6856607889,0.4096,3.5426391961,18.4249537939647,0.0969169435192129,0.00955,0.00926,0.00866,0.0195,72.5150693421709,0.03,3.09780669653121e-05,"200829A",1.25,0.352182518111362
"201104B",0.612783857,21.73058526,2.72159651,1.47,-9.38944702,0.937517892,1.19537497,0.605,1.55046,-5.744727495,0.375504055399796,472.218335742129,7.40708756324418,2.1609,88.1617153413869,0.878939797820124,1.4289213189025,0.366025,2.4039262116,33.001893991809,0.00811616012140756,0.02110237,0.02972805,0.02348264,0.175,5821.34862226292,0.07,0.00336606240548154,"201104B",1.954,0.470410490975931
"210210A",0.84509804,21.12319546,3.72413045,1.53,-10.1403778,0.819543936,1.5451851,0.965,1.85188,-6.008773924,0.714190697211842,446.189386441365,13.8691476086172,2.3409,102.827261926733,0.671652263034372,2.38759699326201,0.931225,3.4294595344,36.1053640697424,0.038778433249538,0.05799791,0.08857348,0.10645081,0.15,15711.0952198578,0.58,0.0019246091270822,"210210A",0.715,0.234264124378789
"210411C",0.681241237,21.05996459,2.93128506,1.6,-9.72925773,1.10720997,1.16829405,1.21,1.88408,-5.920818754,0.46408962298929,443.522108532054,8.5924321029792,2.56,94.6584559767648,1.2259139176674,1.3649109872654,1.4641,3.5497574464,35.0560947177181,0.0202577864729536,0.05048963,0.05901459,0.03209979,0.14,13098.0345793683,0.4,0.00245588146286664,"210411C",2.826,0.582744965691277
"210517A",0.176091259,21.15768338,3.057651,1.85,-10.8415194,0.485721426,1.21043545,0.66,1.71079,-6.823908741,0.0310081314962051,447.647566008328,9.349229637801,3.4225,117.538542900576,0.235925303675473,1.4651539786167,0.4356,2.9268024241,46.5657305054962,0.199990220376636,0.25872455,0.32132806,0.08060357,0.22,251482.261612299,0.25,0.0167654842039965,"210517A",2.486,0.542327382773974
"210610B",1.130333768,21.03780485,2.89514,0.98,-9.19036,1.841234296,1.05139,0.78,1.91684,-4.443697499,1.27765442708108,442.589232906684,8.3818356196,0.9604,84.4627169296,3.39014373276662,1.1054209321,0.6084,3.6742755856,19.7464474626189,0.015836913202155,0.0226,0.02831,0.01291,0.029,145.533721475839,0.11,0.000724434498012989,"210610B",1.13,0.328379603438738
"210619B",2.06069784,21.83430305,2.91049117,1.41,-8.55006175,1.784617293,1.12578835,0.745,1.92306,-4.022276395,4.24647558778067,476.736789679239,8.47095885064797,1.9881,73.103555928813,3.18485888247465,1.26739940899572,0.555025,3.6981597636,16.1787073977742,0.00197833385726092,0.01027813,0.01099582,0.00437126,0.07,20.8988036371085,0.02,3.13758578943889e-05,"210619B",1.937,0.4679039465228
"210722A",0.342422681,20.54058972,3.6504,1.62,-10.3507,1.700703717,1.43908,0.81,1.83712,-5.602059991,0.117253292463228,421.91582604537,13.32542016,2.6244,107.13699049,2.89239313301762,2.0709512464,0.6561,3.3750098944,31.3830761427629,0.0911698774157967,0.0364819,0.0395981,0.048071,0.09,6035.57437759419,0.14,0.0194846793679282,"210722A",1.145,0.331427296520743
"210822A",1.442479769,21.53322281,2.4985,1.3,-8.20842,2.257198426,1.267456,0.77,1.70788,-4.698970004,2.08074788397429,463.679684585104,6.24250225,1.69,67.3781588964,5.09494473433688,1.606444711936,0.5929,2.9168540944,22.0803190984918,0.102616483810065,0.017735,0.01621,0.008455,0.026,188.611704725001,0.4,0.000172070781919346,"210822A",1.736,0.437116093048079
"211024B",-0.045757491,20.98677173,3.43921565,1.63,-8.56429146,2.780677274,1.92622006,1.07,2.08,-5.167491087,0.00209374798261508,440.444587647127,11.8282042872049,2.6569,73.3470882118289,7.73216610214007,3.7103237195464,1.1449,4.3264,26.7029641342244,0.014863865494915,0.01916437,0.01167528,0.00965772,0.055,1223.69182597888,0.09,0.0465707894966851,"211024B",1.1137,0.325043347403704
