"","PhotonIndex","log10PeakFlux","log10NH","Beta_opt","log10Ta_opt","Alpha_opt","log10Ta","log10Fluence","log10T90","Gamma","log10Fa","log10Fa_opt","Beta","Alpha","PhotonIndexSqr","log10PeakFluxSqr","log10NHSqr","Beta_optSqr","log10Ta_optSqr","Alpha_optSqr","log10TaSqr","log10FluenceSqr","log10T90Sqr","GammaSqr","log10FaSqr","log10Fa_optSqr","BetaSqr","AlphaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10NH_opt","Beta_opt_opt","log10Ta_opt_opt","Alpha_opt_opt","log10Ta_opt","log10Fluence_opt","log10T90_opt","Gamma_opt","log10Fa_opt","log10Fa_opt_opt","Beta_opt","Alpha_opt","Redshift_crosscheck","log10z"
"050820A",1.25,0.389166084,21.61964524,0,0,0,3.750945731,-5.463441557,1.414973348,1.96878,-10.01818139,0,0.9,1.136499703,1.5625,0.151450240935895,467.409060303455,0,0,0,14.0695938769071,29.8491936467546,2.00214957555033,3.8760946884,100.363958362942,0,0.81,1.29163157491909,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0,0,0,0,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",2.76,-0.301029996,20.9708274,0,0,0,5.08558,-6.575118363,1.353723938,1.94709,-12.23882419,0,0.86,0.954481,7.6176,0.09061905849176,439.775601840591,0,0,0,25.8631239364,43.2321814874598,1.83256850031423,3.7911594681,149.788817553729,0,0.7396,0.911033979361,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0,0,0,0,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",1.25,-0.207608311,22.39388568,1,5.539472,2.332396,0,-5.316052869,2.259044094,1.90813,0,-14.18,0,0,1.5625,0.0431012107962727,501.486115848909,1,30.685750038784,5.440071100816,0,28.2604181060031,5.10328021863628,3.6409600969,0,201.0724,0,0,0.0885407574117407,0,0,0,0,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,"050904A",1,0.3125,-0.05190207775,5.59847142,0.25,1.384868,0.583099,0,-1.32901321725,0.5647610235,0.4770325,0,-3.545,0,0,6.295,0.86302529622947
"050908A",1.88,-0.15490196,21.65033473,1.8,3.26,0.82,0,-6.316052869,1.239799818,2.74883,0,-12.61,0,0,3.5344,0.0239946172118416,468.736993921044,3.24,10.6276,0.6724,0,39.8925238440031,1.53710358871283,7.5560663689,0,159.0121,0,0,0.0885407574117407,0,0,0,0,0.08,0.13,0.08,0.09,0.045857181,0.17,0.086858896,"050908A",1,0.47,-0.03872549,5.4125836825,0.45,0.815,0.205,0,-1.57901321725,0.3099499545,0.6872075,0,-3.1525,0,0,3.34,0.637489729512511
"050922C",1.37,0.860936621,21.44930866,0,0,0,2.52429,-5.790484985,0.653212514,2.2119,-9.477555766,0,1.064,1.22035,1.8769,0.741211865378898,460.072841991951,0,0,0,6.3720400041,33.5297163615105,0.4266865884462,4.89250161,89.8240632976399,0,1.132096,1.4892541225,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0,0,0,0,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",2.4,0.113943352,21.71466751,0,0,0,4.25742,-6.769551079,0.602059991,1.89482,-11.59006688,0,0.73,1.14771,5.76,0.0129830874649959,471.52678506985,0,0,0,18.1256250564,45.8268218111901,0.36247623276292,3.5903428324,134.329650282873,0,0.5329,1.3172382441,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0,0,0,0,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",1.6783282458665,0.179466033655192,20.9024195385481,1.1,4.04085,1.02823,0,-6.17568341398607,1.204119983,2.02921982175251,0,-13.0714,0,0,2.81678570087332,0.0322080572359265,436.911142565477,1.21,16.3284687225,1.0572569329,0,38.1390656297826,1.44990493345992,4.11773308499329,0,170.86149796,0,0,0.0875106835560367,0,0,0,0,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,0.419582061466625,0.044866508413798,5.22560488463702,0.275,1.0102125,0.2570575,0,-1.54392085349652,0.30102999575,0.507304955438127,0,-3.26785,0,0,3.6,0.662757831681574
"051109A",1.51,0.595496222,21.97057233,0,0,0,3.91123,-5.657577319,1.57054294,2.06584,-10.51999306,0,1.06,1.22299,2.2801,0.354615750416273,482.706048507762,0,0,0,15.2977201129,32.0081811204632,2.46660512638384,4.2676949056,110.670253982448,0,1.1236,1.4957045401,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0,0,0,0,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",1.32,0.424881637,21.79196559,0.76,2.77,1,0,-5.389339837,1.776555911,2.23019,0,-10.91,0,0,1.7424,0.1805244054598,474.889764275744,0.5776,7.6729,1,0,29.0449838786752,3.15615090490904,4.9737474361,0,119.0281,0,0,0.0544346314312377,0,0,0,0,0.03,0.04,0.04,0.07,0.014263593,0.06,0.034286406,"051111A",1,0.33,0.10622040925,5.4479913975,0.19,0.6925,0.25,0,-1.34733495925,0.44413897775,0.5575475,0,-2.7275,0,0,1.55,0.406540180433955
"060115A",1,-0.060480747,21.43355223,0,0,0,3.69688,-5.76700389,2.144885418,2.10553,-11.29499204,0,1,0.889919,1,0.00365792075767801,459.397161196138,0,0,0,13.6669217344,33.2583338672751,4.60053345634903,4.4332565809,127.576845183663,0,1,0.791955826561,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0,0,0,0,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
